job_title,job_location,company,search_city,job_skills,last_processed_time,first_seen,search_country,search_position,job_level,job_type
Kỹ Thuật Viên Tự Động Hóa,Đà Nẵng,CÔNG TY TNHH MATRIX VIỆT NAM,Đà Nẵng,,24/03/2025,24/03/2025,Việt Nam,engineer,,"
Chuyên Gia Seo,Quận 1, Hồ Chí Minh,CÔNG TY CỔ PHẦN VIỆT NAM TICKETS đại diện cho Công Ty Cổ Phần Việt Nam Tickets,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Lễ Tân Nữ,Bình Phước,Khách Sạn Tân Hạnh,Bình Phước,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Đào Tạo,Quận 5, Hồ Chí Minh,Công ty TNHH Đầu Tư Giáo Dục Rainbow đại diện cho Trung tâm Anh ngữ Rainbow,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Chuyên Viên Bán Hàng,"Buôn Ma Thuột, Đắk Lắk",THACO AUTO ĐẮK LẮK đại diện cho CÔNG TY CP Ô TÔ THÀNH TRUNG,Đắk Lắk,,24/03/2025,24/03/2025,Việt Nam,,,"
Nhà Thiết Kế Kiến Trúc,"Quận 7, Hồ Chí Minh",CTY TNHH MTV THIẾT KẾ KIẾN TRÚC VÀ XÂY DỰNG HYCONS,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,"
Kỹ Sư Thiết Kế Dân Dụng,"Quận 12, Hồ Chí Minh",Công ty TNHH Cửa Phú Mỹ Hưng,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Hành Chính Tiếng Trung (Không Yêu Cầu Kinh Nghiệm) - Long Biên,,,,,24/03/2025,24/03/2025,Việt Nam,,,"
Reservations Agent,Nha Trang,Khánh Hòa,Nha Trang Marriott Resort & Spa Hon Tre Island,Khánh Hòa,,24/03/2025,24/03/2025,Việt Nam,support,,
Assistant Front Office Manager (AFOM),Bà Rịa-Vũng Tàu,Poulo Condor Boutique Resort & Spa,Bà Rịa-Vũng Tàu,,24/03/2025,24/03/2025,Việt Nam,,,
Admissions cum Customer Service Officer,Quận 11, Hồ Chí Minh,APU - AMERICAN INTERNATIONAL SCHOOL,Hồ Chí Minh,database,24/03/2025,24/03/2025,Việt Nam,"support, manager",manager,"
Chuyên Viên Kiểm Soát Nội Bộ,Hồ Chí Minh,JobsGO Recruit,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Trợ Lý QA / QA Assistant,Xã Hòa Phú, Hồ Chí Minh,CÔNG TY TNHH DAEHAN MOTORS,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Kế Toán,Hồ Chí Minh,OUTSOURCE SOLUTIONS CO.,LTD đại diện cho OUTSOURCE SOLUTIONS CO.,LTD,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Chuyên Viên Phát Triển Kinh Doanh,"Quận Hoàn Kiếm, Hà Nội",Cty Mắt Kính Thanh Lịch,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Hỗ Trợ,Đà Nẵng,CÔNG TY TNHH BEFAST đại diện cho CÔNG TY TNHH BEFAST,Đà Nẵng,,24/03/2025,24/03/2025,Việt Nam,,,
[Cao Bằng]  Gia Sư Dạy Giao Tiếp Tiếng Pháp Online (Part - Time),"Quận Cầu Giấy, Hà Nội",Công Ty Cổ Phần Giáo Dục Trực Tuyến FUNiX,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,"
Chuyên Viên Bán Hàng,Hồ Chí Minh,CÔNG TY CỔ PHẦN HÓA MỸ PHẨM TỰ NHIÊN đại diện cho CÔNG TY CP HÓA MỸ PHẨM TỰ NHIÊN,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Marketing Assistant Executive,Hồ Chí Minh,Talent Viet,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,"tester, support, manager",manager,
Nhân Viên SEO – Website Marketing - Làm Việc Tại Thái Bình,Thái Bình,JobsGO Recruit,Thái Bình,,24/03/2025,24/03/2025,Việt Nam,analyst,,
Nhân Viên Kế Toán Nội Bộ (Đi Làm Ngay),,,,,24/03/2025,24/03/2025,Việt Nam,,,"
Nhân Viên Buồng Phòng Nam/Nữ,Bình Phước,Khách Sạn Tân Hạnh,Bình Phước,,24/03/2025,24/03/2025,Việt Nam,,,"
Chuyên Viên Kỹ Thuật Thiết Kế,,,,,24/03/2025,24/03/2025,Việt Nam,,,"
Nhân Viên Kiểm Soát Chất Lượng,"Long Mỹ, Bình Định",Công ty TNHH Sản xuất & Thương mại Việt Mỹ Bình Định,Bình Định,,24/03/2025,24/03/2025,Việt Nam,,,"
Kỹ Sư Chất Lượng,"An Lạc, Hồ Chí Minh",Công ty TNHH Lạc Tỷ,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,leader,"
Nhân Viên Phục Vụ Quầy Bar,"Hạ Long, Quảng Ninh",Novotel Ha Long Bay,Quảng Ninh,,24/03/2025,24/03/2025,Việt Nam,,,"
Kế Toán,"Thuận An, Bình Dương",CÔNG TY TNHH ĐẦU TƯ MINH NHI,Bình Dương,,24/03/2025,24/03/2025,Việt Nam,manager,manager,"
Executive Secretary To Production Director (25726) _Tân Uyên, Bình Dương,,,,,24/03/2025,24/03/2025,Việt Nam,director,director,"
Assistant to GM,Bình Dương,Talent Viet,Bình Dương,,24/03/2025,24/03/2025,Việt Nam,"support, manager",manager,
Biên Tập Viên Video,"Quận 1, Hồ Chí Minh",CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TRENDY BEAUTY COSMETICS,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Chuyên Viên Nhân Sự Tổng Hợp,Hồ Chí Minh,"EILI INDUSTRIAL VIETNAM CO., LTD",Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Quản Lý Nhân Sự,"Tây Hồ, Hà Nội",Công Ty Cổ Phần Tập Đoàn Minh Anh,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,"
Kỹ Sư Thiết Kế,Hồ Chí Minh,CÔNG TY TNHH ESUHAI TECHNOLOGY,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Kinh Doanh,"Bình Thạnh, Hồ Chí Minh",Công ty CP Người Bạn Vàng - Bình Thạnh,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Lễ Tân,"Hội An, Quảng Nam",Nhà hàng Esco Beach Hội An đại diện cho Công ty TNHH Esco Beach,Quảng Nam,,24/03/2025,24/03/2025,Việt Nam,,,
Assistant Marketing Staff,,,,,24/03/2025,24/03/2025,Việt Nam,support,,
Receptionist/ Nhân viên lễ tân,Quảng Nam,Bellerive Hoi An Hotel & Spa,Quảng Nam,,24/03/2025,24/03/2025,Việt Nam,manager,manager,"
Kỹ Sư Tự Động Hóa Kiểm Thử,Hồ Chí Minh,Công ty TNHH Ê SU HAI,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
NHÂN VIÊN PHỤC VỤ (PART-TIME/FULLTIME),Bình Định,Khuiii Quy Nhơn,Bình Định,,24/03/2025,24/03/2025,Việt Nam,,,
F&B Supervisor25049759,"Phú Quốc, Kiên Giang",Sheraton Phu Quoc Long Beach Resort,Kiên Giang,,24/03/2025,24/03/2025,Việt Nam,"support, manager",manager,
Giáo Viên Tiếng Anh,"Quận Bình Tân, Hồ Chí Minh",HỆ THỐNG TRUNG TÂM ANH NGỮ ĐÔNG ĐÔ TÂY ĐÔ,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,"
Chuyên Viên Tuyển Dụng,Hưng Yên,REERACOEN VIỆT NAM,Hưng Yên,,24/03/2025,24/03/2025,Việt Nam,support,,"
Trợ Lý Điều Hành,"Tân Bình, Hồ Chí Minh",Freelance Headhunter đại diện cho Freelance Headhunter,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Kinh Doanh - Hải Phòng,,,,,24/03/2025,24/03/2025,Việt Nam,,,"
Nhân Viên Bảo Trì Cơ/Điện (Lương Cạnh Tranh) (Tây Ninh),,,,,24/03/2025,24/03/2025,Việt Nam,,,"
Packaging Development Director,Hồ Chí Minh,Manpower VN,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Kiến Trúc Sư,"Quận 1, Hồ Chí Minh",Công ty TNHH tư vấn thiết kế xây dựng Đương Đại,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,"
Thợ Hàn Ô Tô,"Quận 2, Hồ Chí Minh",Telestar Vietnam,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Phát Triển Sản Phẩm,Hải Phòng,CÔNG TY TNHH Y-TEC VIỆT NAM,Hải Phòng,,24/03/2025,24/03/2025,Việt Nam,,,
Biên Dịch Viên,"Tân Bình, Hồ Chí Minh",Công ty Worklink Việt Nam,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Area Manager,Hồ Chí Minh,HR1 Vietnam,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,leader,
Nhân Viên Tư Vấn Khách Hàng Qua Các Kênh Online,"Xóm Bến, Bến Tre",Công Ty TNHH Nha Khoa Sài Gòn Tâm Đức - Cà Mau,Bến Tre,,24/03/2025,24/03/2025,Việt Nam,,,
Kế Toán Trưởng,Hồ Chí Minh,CÔNG TY CỔ PHẦN HÓA MỸ PHẨM TỰ NHIÊN đại diện cho CÔNG TY CP HÓA MỸ PHẨM TỰ NHIÊN,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Thực Tập Sinh Quản Lý,Đà Nẵng,AA-GlobalGroup,Đà Nẵng,,24/03/2025,24/03/2025,Việt Nam,,,
Học Viên Thực Tập,"Tân Bình, Hồ Chí Minh",CÔNG TY CỔ PHẦN TƯ VẤN PHÁT TRIỂN THƯƠNG HIỆU VIỆT,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân viên Nhập Liệu Tiếng Việt,,,,,24/03/2025,24/03/2025,Việt Nam,,,"
Nhân Viên Bán Hàng,"Tân Bình, Hồ Chí Minh",Siêu thị khu vực HCM,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Chăm Sóc Khách Hàng,Hà Nội,Công ty TNHH Đầu Tư và Tư Vấn EUREKA đại diện cho Công ty TNHH Đầu Tư  Và Tư Vấn EUREKA,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
"Kỹ Thuật Viên Nước cấp, Nước thải",,,,,24/03/2025,24/03/2025,Việt Nam,,,"
Trưởng Ca Sản Xuất Thực Phẩm,,,,,24/03/2025,24/03/2025,Việt Nam,,,"
Nhân Viên Kinh Doanh,"Phú Mỹ, Hồ Chí Minh",FORDTEK VIET NAM đại diện cho Công ty TNHH Fordtek INC,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhà Thiết Kế Nội Thất Kiến Trúc Sư,"Quận 7, Hồ Chí Minh",CTY TNHH MTV THIẾT KẾ KIẾN TRÚC VÀ XÂY DỰNG HYCONS,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
CDP Pastry/ Tổ Trưởng Bếp Bánh,Kiên Giang,Radisson Blu Resort Phu Quoc,Kiên Giang,,24/03/2025,24/03/2025,Việt Nam,manager,manager,"
Nhân Viên Chăm Sóc Khách Hàng ( Full - Time),,,,,24/03/2025,24/03/2025,Việt Nam,,,"
Tài Xế,Hà Nội,Công ty TNHH Dược Khoa Xanh,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,"
Kỹ Sư Thiết Kế Cơ Khí,"Tân Bình, Hồ Chí Minh",Freelance Headhunter,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,"
Nhân Viên Quản Lý Bất Động Sản,"Tân Bình, Hồ Chí Minh",Freelance Headhunter,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,"manager, director","manager, director","
Nhân Viên Kế Toán,"Quận 7, Hồ Chí Minh","Emers Vietnam Co., Ltd",Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,"support, manager","leader, manager",
Họa Sĩ Trò Chơi,Hồ Chí Minh,Windecor (Fountainhead) đại diện cho Fountainhead,Hồ Chí Minh,"artificial intelligence, IT Support, IT Support",24/03/2025,24/03/2025,Việt Nam,"support, manager","junior, expert, manager",
Kỹ Sư Thiết Kế,Hồ Chí Minh,Công ty TNHH xuất nhập khẩu và thương mại Sài Gòn đại diện cho Công ty TNHH xuất nhập khẩu và thương mại Sài Gòn,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Kế Toán,"Bình Thạnh, Hồ Chí Minh",Công ty cổ phần Liven Technology đại diện cho Công ty cổ phần Liven Technology,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Sư Cơ Khí,Hồ Chí Minh,CÔNG TY TNHH ESUHAI TECHNOLOGY,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Phát Triển Kinh Doanh,"Quận 1, Hồ Chí Minh",UCLOUD INFORMATION TECHNOLOGY(HK) LIMITED,Hồ Chí Minh,cloud,24/03/2025,24/03/2025,Việt Nam,,,"
Thợ Kim Hoàn,"Tân Bình, Hồ Chí Minh",Công ty vàng bạc đá quý Lộc Phúc,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Mới Product Planning Staff,,,,,24/03/2025,24/03/2025,Việt Nam,,,
Thợ Điện,"Quận Tân Phú, Hồ Chí Minh",CÔNG TY TNHH XÂY DỰNG VÀ CƠ ĐIỆN TÂM BÌNH,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Giám Sát Nhà Hàng,Thừa Thiên-Huế,SBH GLORIA HUE,Thừa Thiên-Huế,,24/03/2025,24/03/2025,Việt Nam,support,leader,"
Giáo Viên Trung Học,"Quận Bình Tân, Hồ Chí Minh",HỆ THỐNG TRUNG TÂM ANH NGỮ ĐÔNG ĐÔ TÂY ĐÔ,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,"
Chuyên Viên Marketing,Hồ Chí Minh,"EILI INDUSTRIAL VIETNAM CO., LTD",Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Chuyên Viên Dịch Vụ Khách Hàng,"Quận 3, Hồ Chí Minh",Milan Pacific International Limited,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,support,,
Nhà Tư Vấn Tuyển Dụng Giáo Dục,"Quận Cầu Giấy, Hà Nội",Công ty CP Nhân Lực Việt Nam Nhật Bản,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Thiết Kế Sản Phẩm,"Long Mỹ, Bình Định",Công ty TNHH Sản xuất & Thương mại Việt Mỹ Bình Định,Bình Định,,24/03/2025,24/03/2025,Việt Nam,,,"
Kỹ Thuật Viên Bảo Trì Thiết Bị,"Tân Bình, Hồ Chí Minh",Công ty Worklink Việt Nam,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,"
Quản Lý Bán Lẻ,"Khu Công Nghiệp Sóng Thần, Bình Dương",CÔNG TY TNHH THỰC PHẨM THƯƠNG MẠI ĐẠI PHÁT đại diện cho CÔNG TY TNHH THỰC PHẨM THƯƠNG MẠI ĐẠI PHÁT,Bình Dương,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Kinh Doanh,"Quận Hà Đông, Hà Nội",CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ TICO GROUP,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,"
Nhân Viên Kinh Doanh,"Tân Bình, Hồ Chí Minh",CÔNG TY CỔ PHẦN TƯ VẤN PHÁT TRIỂN THƯƠNG HIỆU VIỆT,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Kế Toán Viên,"Quận 9, Hồ Chí Minh",CÔNG TY CỔ PHẦN DỊCH VỤ XUẤT KHẨU LAO ĐỘNG VÀ CHUYÊN GIA,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Kinh Doanh,Hải Phòng,Công Ty TNHH Vận Tải Quốc Tế Đại Dương Xanh,Hải Phòng,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Thuật Viên Phòng Thí Nghiệm,"Châu Thành, Tiền Giang",Nhà máy chế biến thủy sản đông lạnh xuất khẩu An An,Tiền Giang,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Kế Toán,"Tân Bình, Hồ Chí Minh",Công ty Worklink Việt Nam,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Kế Toán Viên,"Quận 2, Hồ Chí Minh",CÔNG TY CỔ PHẦN GIẢI PHÁP CHUYÊN GIA STAR GLOBAL,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Lập Trình Vận Hành,"Quận Đống Đa, Hà Nội",resolve Computing Services,Hà Nội,"IT Infrastructure, cloud, deploy",24/03/2025,24/03/2025,Việt Nam,support,expert,
Nhân Viên Chăm Sóc Khách Hàng,"Quận Bình Tân, Hồ Chí Minh",Công Ty CP Khoa Học Công Nghệ Avatek,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Trợ Lý Kỹ Thuật,"Quận Hoàn Kiếm, Hà Nội",Khách sạn Mường Thanh Hà Nội Centre,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,"
Nhân Viên Kinh Doanh,"Tân Bình, Hồ Chí Minh",Công ty Worklink Việt Nam,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Phiên Dịch Viên,"Quận Đống Đa, Hà Nội",REERACOEN VIỆT NAM,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,manager,manager,"
Academic Assistant (in Finance),,,,,24/03/2025,24/03/2025,Việt Nam,support,leader,
Trưởng Phòng Kinh Doanh Online Tại FPT Telecom Đăk Lăk,"Buôn Ma Thuột, Đắk Lắk",FPT Telecom,Đắk Lắk,,24/03/2025,24/03/2025,Việt Nam,,,"
Purchasing Officer25049885,"Phú Quốc, Kiên Giang",Sheraton Phu Quoc Long Beach Resort,Kiên Giang,,24/03/2025,24/03/2025,Việt Nam,"support, manager",manager,
BẾP CHÍNH CHUYÊN CHAY (ƯU TIÊN NAM),Lâm Đồng,Kỳ Viên - Home & Cafe,Lâm Đồng,,24/03/2025,24/03/2025,Việt Nam,,,"
Chuyên Viên Marketing,"Quận 4, Hồ Chí Minh",CÔNG TY TNHH ỨNG DỤNG VÀ PHÁT TRIỂN DINH DƯỠNG HỌC HINU,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,leader,
Phiên Dịch Viên,"Tân Bình, Hồ Chí Minh",Freelance Headhunter,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,"
Customer Service Representative,Bình Dương,Talent Viet,Bình Dương,,24/03/2025,24/03/2025,Việt Nam,"manager, director","manager, director",
Trưởng Nhóm,"Tây Hồ, Hà Nội",Nous by Sun Life đại diện cho Nous by Sun Life,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Giám Đốc Marketing,"Quận Hai Bà Trưng, Hà Nội",TỔNG CÔNG TY CỔ PHẦN THƯƠNG MẠI XÂY DỰNG đại diện cho TỔNG CÔNG TY CỔ PHẦN THƯƠNG MẠI XÂY DỰNG,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,developer,,
Leads Qualification - SPX Express,Hà Nội,Shopee,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,"
Customer Experience Team Leader,Hồ Chí Minh,Maersk,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,"support, manager","leader, manager",
Chuyên Viên Tuyển Dụng,"Quận 10, Hồ Chí Minh",Công Ty Bất Động Sản HECOLAND đại diện cho Công Ty Bất Động Sản HECOLAND,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Kiểm Soát Chất Lượng,"Buôn Ma Thuột, Đắk Lắk",CÔNG TY CỔ PHẦN MỘC ĐIỀN - CHI NHÁNH ĐĂK LĂK,Đắk Lắk,,24/03/2025,24/03/2025,Việt Nam,,,"
Nhân Viên Lễ Tân,"Tuy Hòa, Phú Yên",Công ty Cổ Phần Long Vân Hai Tám đại diện cho Công ty Cổ Phần Long Vân Hai Tám,Phú Yên,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Sư Quy Trình Sản Xuất (PE Staff) - Bắc Ninh,,,,,24/03/2025,24/03/2025,Việt Nam,,,
Nhà Thiết Kế Nội Thất,"Quận 2, Hồ Chí Minh",Công ty Cổ phần S-House,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Trợ Lý Học Tập,"Quận Hoàn Kiếm, Hà Nội",SIMPACE VN,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,"• Lập kế hoạch, tổ chức kiểm tra thi đầu vào cho học viên."
Universal Banking Officer (40001601),Quảng Ninh,Techcombank,Quảng Ninh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Phục Vụ,"Quận 1, Hồ Chí Minh",Bệnh viện Phụ Sản Quốc Tế Sài Gòn,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Thuật Viên Điện Chữa Cháy,Đà Nẵng,Công ty TNHH Công Nghệ Danasmart,Đà Nẵng,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Thuật Viên Y Tế,"Buôn Ma Thuột, Đắk Lắk",TRƯỜNG ĐẠI HỌC Y DƯỢC BUÔN MA THUỘT,Đắk Lắk,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Sư Nông Nghiệp,Lâm Đồng,CÔNG TY TNHH AGRITECK JAPAN,Lâm Đồng,,24/03/2025,24/03/2025,Việt Nam,,,
Giáo Viên Trung Học,"Quận Cầu Giấy, Hà Nội",FUNiX đại diện cho Công Ty Cổ Phần Giáo Dục Trực Tuyến Funix,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Hành Chính Văn Phòng,"Quận 7, Hồ Chí Minh",Leong Lee International Co Ltd đại diện cho Công Ty TNHH Quốc Tế Leong Lee,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,"support, manager",manager,"
Nhân Viên Xử Lý Đơn Hàng,"Quận Phú Nhuận, Hồ Chí Minh",Công Ty TNHH Xuất Nhập Khẩu và Phân Phối Minh Khang,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Kinh Doanh,"Phường Nguyễn Thái Bình, Hồ Chí Minh",CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN VIỆT BA,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,"
Kế Toán,Quảng Ngãi,DNTN Bảo hộ lao động Tập Bảo,Quảng Ngãi,,24/03/2025,24/03/2025,Việt Nam,,,
General Manager (Operation),Hồ Chí Minh,Talent Viet,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,manager,manager,
Quản Lý Chất Lượng,"Tân Bình, Hồ Chí Minh",Công ty Worklink Việt Nam,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,manager,"leader, manager",
Receptionist,Bình Dương,Công ty TNHH May Mặc Bowker Việt Nam,Bình Dương,,24/03/2025,24/03/2025,Việt Nam,"support, manager",manager,"
Kế Toán,"Quận Thủ Đức, Hồ Chí Minh",HR Strategy (Shasu Group) đại diện cho HR Strategy (Shasu Group),Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,support,,
Quản Trị Viên Vận Hành,"Tân Bình, Hồ Chí Minh",Freelance Headhunter đại diện cho Freelance Headhunter,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,leader,
Học Viên Thực Tập,"Bình Thạnh, Hồ Chí Minh",KYNA ENGLISH (DREAM VIET EDUCATION),Hồ Chí Minh,database,24/03/2025,24/03/2025,Việt Nam,,,
NHÂN VIÊN PHỤC VỤ,Đà Nẵng,The Temptation French Restaurant,Đà Nẵng,,24/03/2025,24/03/2025,Việt Nam,,,"- Chào đón khách đến với nhà hàng một cách niềm nở., 
Thực tập sinh Thu Mua,Hồ Chí Minh,Khách Sạn Nhật Hạ L'Opera,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,"
QUẢN LÝ NHÀ HÀNG,Quảng Ninh,NHÀ HÀNG Á ĐÔNG CUISINE,Quảng Ninh,,24/03/2025,24/03/2025,Việt Nam,,,"- Chịu trách nhiệm đối với tất cả mọi hoạt động trong nhà hàng., 
Resident Services Assistant,Hồ Chí Minh,Keppel Corporation,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Chuyên Viên Phân Tích Nghiệp Vụ,"Quận Đống Đa, Hà Nội",CÔNG TY CỔ PHẦN CÔNG NGHỆ PREP đại diện cho CÔNG TY CỔ PHẦN CÔNG NGHỆ PREP,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Kế Toán,"Quận Bình Tân, Hồ Chí Minh",Công ty TNHH Lạc Tỷ,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Quản Lý Chất Lượng,Hồ Chí Minh,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ VIỆT TOP,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Head of Supply Chain Operation,Hồ Chí Minh,PNJ,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
NHÂN VIÊN PHỤ BẾP (FULLTIME),Bình Định,Khuiii Quy Nhơn,Bình Định,,24/03/2025,24/03/2025,Việt Nam,,,"- Thực hiện sơ chế thực phẩm theo quy định, 
NHÂN VIÊN BẾP NAM / NỮ,Quảng Ninh,NHÀ HÀNG Á ĐÔNG CUISINE,Quảng Ninh,,24/03/2025,24/03/2025,Việt Nam,,,"- Chế biến các món ăn theo thực đơn nhà hàng phục vụ khách hàng.,
NHÂN VIÊN PHỤC VỤ NAM / NỮ,Quảng Ninh,NHÀ HÀNG Á ĐÔNG CUISINE,Quảng Ninh,,24/03/2025,24/03/2025,Việt Nam,,,"- Chào đón khách., 
Kỹ Sư Xây Dựng,"Quận Cầu Giấy, Hà Nội",Công ty CP Tập đoàn Phú Minh Sơn đại diện cho Công ty CP Tập đoàn Phú Minh Sơn,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Quản Lý Sản Xuất,"Nhơn Trạch, Đồng Nai",REERACOEN VIỆT NAM,Đồng Nai,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Lễ Tân,"Nha Trang, Khánh Hòa",Công ty TNHH Queen Ann Nha Trang,Khánh Hòa,,24/03/2025,24/03/2025,Việt Nam,,,
Giảng Viên Kỹ Thuật Cơ Khí,"Buôn Ma Thuột, Đắk Lắk",Phân hiệu Đại học Đông Á tại tỉnh Đắk Lắk,Đắk Lắk,,24/03/2025,24/03/2025,Việt Nam,,,
Quản Lý Chất Lượng,"Châu Thành, Tiền Giang",Nhà máy chế biến thủy sản đông lạnh xuất khẩu An An,Tiền Giang,,24/03/2025,24/03/2025,Việt Nam,,,
Quản Lý Chất Lượng,"Tây Hồ, Hà Nội",Công Ty Cổ Phần Tập Đoàn Minh Anh,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,"support, manager, director","manager, director",
