job_skills,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,summary,first_seen,search_city,search_country,search_position,job_level,job_type
"Angular, Technical Component, TypeScript, Angular Material",2025-03-08,Vị trí ,False,False,[Di8] Chuyên Gia Cao Cấp Lập Trình (Front-End Lead) - MSB DF - 3I099,Ngân Hàng Thương Mại Cổ Phần Hàng Hải Việt Nam (MSB),Hà Nội,,26/02/2025,,Việt Nam,,,
"WordPress, JavaScript, Mobile First Responsive, Lập Trình Viên",2025-04-03,"- Phát triển, tùy chỉnh theme và plugin WordPress theo yêu cầu.",False,False,Lập Trình Viên Wordpress,Công Ty TNHH Thương Mại Và Dịch Vụ Ozovn,"479 Phố Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội, Việt Nam",,11/03/2025,,Việt Nam,,,
"Product Management, Agile, Mobile App Development, Web Engineering, Fintech",2025-03-08,• Providing vision and direction to the development team and stakeholders throughout the project and create requirements.,False,False,Senior Product Owner,CÔNG TY CỔ PHẦN CÔNG NGHỆ FINVIET,"34 Hoàng Việt, Phường 4, quận Tân Bình, Hồ Chí Minh, Việt Nam",,26/02/2025,,Việt Nam,,,
"Collaboration, Data Management, Microsoft Power BI, Project Management, Sales Force Excellence tools",2025-03-10,Work Your Magic with us!  ,False,False,Sales Enablement Specialist,Merck Export GmbH Representative Office (Merck Germany),"106 Nguyen Van Troi Street, Phu Nhuan District",,27/02/2025,,Việt Nam,,,
"Giải Quyết Vấn Đề, Quản Lý Dữ Liệu, Quản Trị Mạng Lan, Sửa Chữa Thiết Bị, Cài Đặt Phần Mềm Ứng Dụng",2025-04-01,1. Nhiệm vụ chính,False,False,Chuyên Viên Giải Pháp & Vận Hành,CÔNG TY CỔ PHẦN KINH DOANH VÀ DỊCH VỤ BẤT ĐỘNG SẢN REALTY HOLDINGS,"37 Đường Phùng Khắc Khoan, Đa Kao, Quận 1, Hồ Chí Minh, Việt Nam",,10/03/2025,,Việt Nam,,,
"Customer Service Skill, IT Support, English, Microsoft Office 365",2025-03-08,"- Reviews issues and contacts customers to understand issues. Ensures customers stay informed as to the status/solution of their issue. Utilizes troubleshooting tools (e.g., event logs, and performance traces) to help resolve customer issues.",False,False,IT Support (Night Shift - Offer Up to 24M),Itechwx Company Limited,"Tòa nhà Lancaster Luminaire, Số 1152-1154 Đường Láng, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội",,26/02/2025,,Việt Nam,,,
"AI, AI, Công Nghệ Thông Tin, Giao Tiếp, Microsoft Office, Phân Tích Dữ Liệu",2025-03-08,Triển khai các dự án cải tiến hoạt động và quy trình nội bộ nhằm tối ưu hóa hiệu quả vận hành.,False,False,Business Analyst - Chuyên Viên Phân Tích Hệ Thống,CÔNG TY CỔ PHẦN GỖ AN CƯỜNG,"Sư Vạn Hạnh, Phường 12, Quận 10, TP.HCM",,26/02/2025,,Việt Nam,,,
"business analyst, ERP, IT Project Management, Resource Modelling, Stakeholder Management",2025-04-01,"A Business Analyst (BA) in IT acts as a bridge between business needs and IT solutions by analyzing requirements, optimizing processes, and leading IT implementations. This role enhances efficiency, drives process digitalization, and ensures compliance with industry standards to maximize IT value and system utilization.",False,False,Business Analyst,Navigos Search's Client,"Hanoi, Vietnam.",,10/03/2025,,Việt Nam,,,
"Aws, Azure, LINUX, Nginx, PHP",2025-04-01,"We are looking for talented and motivated System Engineer to join our team. The ideals candidates should have strong technical skills, problem-solving abilities and a willingness to work in a dynamic environment. ",False,False,System Engineer - Overseas Job,69 Sports Marketing Company Limited,Quốc tế,,10/03/2025,,Việt Nam,,,
"Quản Lý Dự Án, Project Management, IT System Administration, IT Project Management",2025-03-08,"- Lập kế hoạch, quản lý và triển khai các dự án liên quan đến mảng Healthcare của FPT Retail.",False,False,Project Manager,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,"Toà nhà 678, Số 67 Hoàng Văn Thái, Phường Tân Phú, Quận 7, TP HCM",,26/02/2025,,Việt Nam,,,
"Hồ Sơ Mời Thầu, Làm Hồ Sơ Dự Thầu, Lập Dự Toán Gói Thầu, Nghiệp vụ đấu thầu, Xây Dựng Hồ Sơ Đấu Thầu",2025-03-08,"VSI là một đơn vị cung cấp các giải pháp về công nghệ thông tin cho khối khách hàng Tài chính - Ngân hàng, Viễn thông, Hàng không tại thị trường Việt Nam. Các giải pháp công ty tập trung đó là DevSecOps, API Management, Openshift, Outsource phần mềm… Khách hàng của VSI là các Enterprise như: Vietinbank, BIDV, Napas, Agribank, Vietnam Airlines và Mobifone…",False,False,Trưởng Phòng Dự Án - Đấu thầu ,Công Ty Cổ Phần VSI,"Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,26/02/2025,,Việt Nam,,,
"Công Nghệ Thông Tin, Giải Pháp Công Nghệ, Điện Tử Viễn Thông, Data Network, CCNA",2025-04-01,"Nhận các nhiệm vụ từ Ban Lãnh đạo, Trưởng phòng phòng kỹ thuật, cụ thể:",False,False,"Kỹ Sư Giải Pháp Server, Network, Camera, Hnth",Công Ty Cổ Phần Dịch Vụ Kỹ Thuật Thương Mại Techviet,"Lô 3 BT1 Khu nhà ở Trung Văn, P.Trung Văn, Q.Nam Từ Liêm, HN, Nam Từ Liêm",,10/03/2025,,Việt Nam,,,
"An Ninh Mạng, Chuyển Đổi Số, Giao Tiếp, Lãnh Đạo, Quản Trị Hệ Thống Mạng",2025-03-08,"- Quản lý hệ thống mạng, phần cứng, phần mềm, an ninh mạng và hỗ trợ người dùng.",False,False,Giám Đốc Công Nghệ Thông Tin,TỔNG CÔNG TY XÂY DỰNG SỐ 1 - CTCP,"111A Pasteur, Bến Nghé, Quận 1, HCM",,26/02/2025,,Việt Nam,,,
"Technical Support, Hardware, Hệ Thống Mạng, Triển Khai Bảo Mật, Công Nghệ Thông Tin",2025-04-01,"-	Thực hiện và báo cáo công việc về hệ thống mạng, hệ thống server, mạng lưới điện thoại, backup, hệ thống camera, máy in, email, máy chiếu, hệ thống âm thanh,...",False,False,Nhân Viên IT,Công Ty TNHH Vietinak,"Hưng Yên, Hung Yen, Vietnam",,10/03/2025,,Việt Nam,,,
"Product Management, Agile, Mobile App Development, Web Engineering, Fintech",2025-03-08,• Providing vision and direction to the development team and stakeholders throughout the project and create requirements.,False,False,Senior Product Owner,CÔNG TY CỔ PHẦN CÔNG NGHỆ FINVIET,"34 Hoàng Việt, Phường 4, quận Tân Bình, Hồ Chí Minh, Việt Nam",,26/02/2025,,Việt Nam,,,
"Angular 6, Git, Java, Microservices, Spring Boot",2025-04-01,"• Phát triển sản phẩm phần mềm sử dụng BE: Java spring, ReactJS, Bootstrap, Javascript,... FE: Angular8+ cho các đối tượng khách hàng khác nhau.",False,False,Fullstack Developer (Java/Angular8+),FPT IS,"519 Kim Mã, Ba Đình",,10/03/2025,,Việt Nam,,,
"Non-life Insurance, Agile, E-commerce, Online Payment, Banking",2025-04-01,1. Business specifications & Documentation,False,False,Business Analyst - Digital Business Development Division,"MSIG Insurance (Vietnam) Co., Ltd.","16 Phan Chu Trinh, Hoàn Kiếm, Hanoi, Vietnam",,10/03/2025,,Việt Nam,,,
"Java, SQL, Java Spring Framework, Chinese Madarin, B2 English",2025-03-04,"1. Xử lý gỡ lỗi và lập trình tính năng của nền tảng trực tuyến
2. Truy cập API bên thứ ba
3. Phối hợp với frontend developer để lập trình REST api cần thiết.",False,False,"Back-end Developer (Java, SQL, Spring, English,chinese)",Công Ty TNHH Clever Creations Tech,"459 Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh",,24/02/2025,,Việt Nam,,,
Business Analysis,2025-03-04,"-	Phân tích nghiệp vụ các sản phẩm về AI, Social Marketing,… phục vụ nhu cầu doanh nghiệp ",False,False,Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst),Công Ty Cổ Phần Z Holding,"Royal City, 72 Nguyễn Trãi, Thanh Xuân, Hà Nội",,24/02/2025,,Việt Nam,,,
"Business Resilience, AI Applications, AI Applications, Technology Change Management, Technology Engineering, technology transformation",2025-03-26,Key Responsibilities,False,False,Future Cxo (Tech Leaders with Business Acumen),Tasco Joint Stock Company,"Auto Phạm Hùng, Phạm Hùng, Mễ Trì, Nam Từ Liêm, Hanoi, Vietnam",,07/03/2025,,Việt Nam,,,
"API RESTful, English Language Proficiency, Java, Software Development, Team Management",2025-02-18,I. Key Responsibilities:,False,False,Software Engineering Manager (Java/springboot),Navigos Search's Client,,,17/02/2025,,Việt Nam,,,
"Agile, Project Management, Software Development, Team Development, Technical Management",2025-02-18,I. Key Accountabilities,False,False,Software Expert (Java/springboot),Navigos Search's Client,,,17/02/2025,,Việt Nam,,,
"Cloud Computing, Communication, Data Science, Software Engineering, Systems Architecture",2025-02-18,"• Building a Cloud sourcing system that pulls data from tens of thousands tables on-premises, and hundreds of data source systems (RDBMS, file server, Kafka,...)",False,False,(HN/HCM) Senior Data Engineer,Navigos Search's Client,Hanoi Vietnam,,17/02/2025,,Việt Nam,,,
"Business Intelligence, Customer Insight, Business Analysis, Manufacturing Experience, Sales Acumen",2025-02-18,False,False,False,Hot Job! Business Insights Leader,Navigos Search's Client,"Hà Nội, Việt Nam",,17/02/2025,,Việt Nam,,,
"AWS, AWS, English Communication, Java, Microservices",2025-02-18,Key Accountabilities,False,False,Senior Solution Architect,Navigos Search's Client,Hanoi Vietnam,,17/02/2025,,Việt Nam,,,
"Computer Vision, Machine Learning, Algorithm, Computer Science",2025-02-24,"- Research, train, and deploy advanced Big Data processing algorithms, ML/Deep learning/AI models worldwide.",False,False,AI Engineer (Open for Fresher),Navigos Search,"Láng Hạ, Hà Nội",,20/02/2025,,Việt Nam,,,
"English Communication, H/W Components Understanding, Linux Clustering, Linux System Administration, Process Analysis",2025-02-22,I. Description,False,False,System Engineer/ System Admin,Navigos Search,"Đường Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Việt Nam",,19/02/2025,,Việt Nam,,,
"IT Infrastructure Management, IT Management, Network Configuration, IT Operations, IT System Administration",2025-02-20,"IT Manager will be responsible for all of the Infrastructure, Network and Security related items within the specific region assigned upholding the companies technology standards and direction. This will include managing a small team of desktop, network and/or server engineers within the region. This individual will be a working manager that performs hands-on duties including resolving customer support tickets, setting up equipment, maintaining, upgrading and consolidating servers, network equipment, storage devices and SaaS based applications aligning with the company standards",False,False,IT Manager (Manufacturing Field),Navigos Search's Client,"Hai Phong, Vietnam",,18/02/2025,,Việt Nam,,,
"Game Design, Data Processing, Unity, Excel, Communication",2025-02-24,False,False,False,Game Designer (IT Comtor),Navigos Search,Vietnam,,20/02/2025,,Việt Nam,,,
"Communication Skills, Front-End, HTML/CSS, Kotlin, Mobile Application",2025-02-24,I. Job Responsibilities:,False,False,[$5000 - $5500] Mobile Manager,Navigos Search's Client,Hanoi (Company office),,20/02/2025,,Việt Nam,,,
"Creative, Concept Development",2025-02-26,False,False,False,Head of Retail Concept Design/ Creative Director,Navigos Search,"Hà Nội, Việt Nam",,21/02/2025,,Việt Nam,,,
"Creative Thinking, Graphic Design, Multimedia Design, Social Media Development, Video Editing",2025-03-08,"• Thiết kế banner ads, social post ads, video ads trên social media.",False,False,[Remote] Senior Multimedia Designer,Navigos Search,"TP. Hồ Chí Minh, Việt Nam",,26/02/2025,,Việt Nam,,,
"Sales B2B, Consultant Service, Customer Experiences, Communications, Empathy",2025-02-03,• Thực hiện công tác bán hàng theo các chỉ tiêu kế hoạch được giao từ cấp Quản lý trực tiếp;,False,False,"B2B Business Development (Open for Senior, Leader, Manager)",Netnam Corp.,"Floor 2-3-4, 10A Nguyen Thi Minh Khai Street, Da Kao Ward, HCMC",,02/02/2025,,Việt Nam,,,
"Magento, PHP, mySQL, JavaScript, Software Development",2025-03-08,"We are seeking a dedicated Associate Software Manager to lead our technology department in creating innovative solutions within the industrial and manufacturing industry. This role requires strong leadership skills, a background in software development, and a creative mindset to push boundaries and drive our team forward.",False,False,Associate Software Manager - the World's Leading Manufacturer,Page Group Vietnam,"Hà Nội, Vietnam",,26/02/2025,,Việt Nam,,,
"Chiến Lược Kinh Doanh, Giải Quyết Vấn Đề, Giao Tiếp, Phân Tích Dữ Liệu, Quản Trị Kinh Doanh",2025-03-10,Trách nhiệm công việc: ,False,False,Chuyên Viên Quản Trị Chiến Lược Doanh Nghiệp,Navigos Search,"TP. Hồ Chí Minh, Việt Nam",,27/02/2025,,Việt Nam,,,
"IT Management, Infrastructure Management, IT Security, Network Administration, Communication",2025-03-08,False,False,False,IT Manager (Foreign Company),Navigos Search's Client,"Hà Nội, Việt Nam",,26/02/2025,,Việt Nam,,,
"Autosar Software Development, C Programming Language, Python Programming, Kernel Debugging, Automotive Electronics",2025-03-12,False,False,False,Software Development Engineer (English - Hanoi),Navigos Search,"Hà Nội, Việt Nam",,28/02/2025,,Việt Nam,,,
"Automation, Communication, Data Analysis, Electronic Communication, It",2025-03-12,"As a Lead Engineer - Operational Technology at B. Braun you will play a vital role in ensuring the availability of production systems and networks at the production plants, including interfaces to subordinate and superordinate systems in the Operational Technology (OT) environment. To secure data integrity, data system of manufacturing plants with technical support. And optimizing/projecting IT infrastructure in the production environment in collaboration with the IT department.",False,False, IT Manufacturing Engineer Lead ,B. Braun,"Thanh Oai Industrial Complex Thanh Oai Dist, Hanoi Vietnam",,28/02/2025,,Việt Nam,,,
".Net Core, API Development, Fluent Communication Skills, Frontend Frameworks, MS SQL",2025-02-24,"Pandaw Cruises, South East Asia's largest river cruise company, is looking for a talented .Net C# Web Developer to help rebuild and extend our website further.",False,False,.Net Core C# Web Developer,CÔNG TY TNHH PANDAW VIỆT NAM,"Phòng 1, Tầng 2, Saigon View Office Building, 117 Nguyễn Cửu Vân , Phường 17, Quận Bình Thạnh,  Thành phố Hồ Chí Minh, V",,20/02/2025,,Việt Nam,,,
"AI, AI, DevOps, Machine Learning, Python",2025-02-24,"•	Phát triển, ứng dụng, tối ưu, tích hợp mô hình AI cho các bài toán ứng dụng trong hoạt động Kinh doanh/Ngân hàng về các lĩnh vực Computer Vision, NLP...",False,False,"Kỹ Sư Phát Triển AI - AI Engineer (Python, C++) - Khối Công Nghệ Thông Tin (HO25.51)",Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,"Hà Nội, Việt Nam",,20/02/2025,,Việt Nam,,,
"Collaboration, Data Management, Data System Management, Microsoft Power BI, Project Management",2025-03-14,Report to: ,False,False,Sales Enablement Manager Vietnam - SLS,"Merck Healthcare Vietnam Ltd., Co.","Centre Point, 106 Nguyễn Văn Trỗi, phường 8, Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,01/03/2025,,Việt Nam,,,
"English Communication, Linux System Administration, Server Management, VMware, Storage Area Network",2025-03-20,Implements and supports IT servers and storage hosted in Vietnam and other manufacturing sites. Resolves server-related issues/problems and ensures high availability of IT services to the business operation. Works closely with team members and independently at times to perform intermediate server and storage functions with multiple technologies.,False,False,Server/Storage Engineer,Navigos Search's Client,"Mễ Trì, Nam Từ Liêm, Hà Nội, Việt Nam",,04/03/2025,,Việt Nam,,,
"Process Engineer, Quality Assurance, Quality Control, Quality Engineer",2025-02-24,    Develop and maintain QA plans and timeliness of global new product introductions utilizing Advanced Product Quality Planning and Process Optimization specific to the customer.,False,False,Quality Engineer,Jabil Vietnam Company Limited,"Lot i8-1, Sai Gon High Tech Park, Thu Duc City, HCMC",,20/02/2025,,Việt Nam,,,
"Tiếng Anh lưu loát, Tài Chính, Kế Toán, Bất Động Sản, Chief Accountant Certificate",2025-03-24,● Supervise and manage the Accounting team,False,False,Accounting Manager,Persolkelly Vietnam,"Hồ Chí Minh, Việt Nam",,06/03/2025,,Việt Nam,,,
"Business Analysis, IT Project Management, Business Process Modeling, ERP Systems, Critical Thinking",2025-03-24,False,False,False,Application Business Analyst,Navigos Search,"Hà Nội, Việt Nam",,06/03/2025,,Việt Nam,,,
"Phát Triển Phần Mềm, Lập Trình, Công Nghệ Thông Tin",2025-03-26,- Thực hiện phát triển phần mềm theo nhu cầu của các Khối/Phòng/Ban nội bộ Tập đoàn,False,False,Chuyên Viên Phát Triển Phần Mềm,Công Ty Cổ Phần Tập Đoàn BRG,"198 Đường Trần Quang Khải, French Quarter, Lý Thái Tổ, Hoàn Kiếm, Hà Nội, Việt Nam",,07/03/2025,,Việt Nam,,,
"AI, IT, English, AI/ML, Pythons",2025-03-26,"-Hợp tác với các bộ phận liên quan trong nhà máy để phân tích, áp dụng AI/ML để đổi mới các công đoạn sản xuất, hoạt động hiện tại",False,False,[Canon Việt Nam]_Tuyển Dụng Kỹ Sư AI,Công Ty TNHH Canon Việt Nam,"Lô B1 Khu công nghiệp Quế Võ, Phường Vân Dương, Thành phố Bắc Ninh, Tỉnh Bắc Ninh",,07/03/2025,,Việt Nam,,,
"Tuyển Dụng, Nhân Sự, Human Resources, Hành Chính Nhân Sự, HR",2025-03-26,•	Gather & compile HR data from various sources and ensure data accuracy and integrity.,False,False,HR Intern,MiTek Việt Nam," Văn Phòng Việt Nam Tòa nhà A5, Lô số A5, khu E-Office, đường Sáng Tạo, KCX Tân Thuận, Phường Tân Thuận Đông, Quận 7, Tp. Hồ Chí Minh,",,07/03/2025,,Việt Nam,,,
"ERP System  Integration, Digital transformation, Product Innovation",2025-03-26,"We are looking for a highly skilled and experienced Product Manager to lead the development of ERP systems and drive the digitization of Omnichannel across departments and thousands of Mom-and-Pop retailer stores. The ideal candidate will have a strong background in Retail and E-commerce with a focus on building technology products including top, middle, and bottom stacks. You will be responsible for overseeing the entire product lifecycle, from ideation and requirements gathering to execution and delivery, ensuring all business, technical, and customer needs are met. A deep understanding of BRD, PRD, and technical specifications together with especially Mom-and-Pop shop owners’ both obstacles and motivation is crucial.",False,False,Product Manager - ERP Omnichannel,Abbott,"Flemington Tower, 182 Le Dai Hanh",,07/03/2025,,Việt Nam,,,
"database management, communication",2025-03-28,"* Quản lý dữ liệu doanh nghiệp và các quy trình liên quan trong hệ sinh thái THP: Đảm bảo tính toàn vẹn và đầy đủ của dữ liệu, cung cấp thông tin hoạt động chính xác và hỗ trợ ra quyết định dựa trên dữ liệu.",False,False,Trưởng Phòng Quản Lý Dữ Liệu/ Corporate Data Manager,Công Ty TNHH TM DV Tân Hiệp Phát,"219 Đại Lộ Bình Dương, Thành Phố Thuận An, Bình Dương",,08/03/2025,,Việt Nam,,,
"Budget Management, Budget Management, English Communication, Manage ERP Software, Project Management, Risk Management",2025-03-06,"1. Developing and managing project plans and timelines for ERP implementation, including coordinating project activities, resources, and stakeholders.",False,False,Project Manager (IT Field | ERM | D365 F&O),Chi Nhánh Công Ty TNHH KPMG,"10Floor, 115 Nguyễn Huệ, Ho Chi Minh City, Ho Chi Minh, Vietnam",,25/02/2025,,Việt Nam,,,
"Business Intelligence, Communication, Data Warehouse Systems, Power BI, SQL",2025-03-26,POSITION PURPOSE,False,False,[Up to 2000] - Power BI Developer,Navigos Search,"HCM, VIETNAM",,07/03/2025,,Việt Nam,,,
"Application Development, Collaboration, Software Development, VB.NET, Visual Studio",2025-03-06,- Địa điểm làm việc: Hồ Chí Minh,False,False,(127 HCM) Kỹ Sư Phát Triển Ứng Dụng (VB.NET/Visual Studio),Công Ty TNHH R Techno Việt Nam,"107 Tân Cảng, Phường 25, Bình Thạnh, Hồ Chí Minh, Việt Nam",,25/02/2025,,Việt Nam,,,
"Jira, Postman, Redmine, SQL, Test Case Writing",2025-03-06,• Lên kế hoạch và thực hiện test cho các sản phẩm và giải pháp,False,False,QA Team Leader,WEEDS VINA,"Hà Nội, Vietnam",,25/02/2025,,Việt Nam,,,
"Accounting, AX Development, Finance",2025-03-06,The finance lead will be responsible for leading the implementation and configuration of D365 F&O Finance. The finance lead will also be responsible for providing leadership and support to the finance team during and after the implementation process.,False,False,Microsoft Dynamics 365 Finance Functional Lead,Chi Nhánh Công Ty TNHH KPMG,"10th Floor, Sunwah Tower  No. 115, Nguyen Hue Street, Ben Nghe Ward, District 1  Ho Chi Minh City",,25/02/2025,,Việt Nam,,,
"PMP, Quản Trị Dữ Liệu Lớn, Tableau BI, Phân Tích Dữ Liệu Khách Hàng, SQL",2025-03-06,"• Thực hiện công việc phân tích khách hàng (KHCN) trong mảng chức năng được giao đảm bảo đúng quy trình, quy định của MB nhằm thực hiện thành công mục tiêu chung của đơn vị.",False,False,"Chuyên viên, Chuyên viên Cao cấp Phân tích Khách hàng cá nhân - Data Analysis (Retail Banking) - Khối Dữ liệu (HO25.58)",Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,"Hà Nội, Việt Nam",,25/02/2025,,Việt Nam,,,
"C#, JavaScript, Cocos, Unity",2025-03-06,Responsibilities: ,False,False,Game Developer (Frontend Developer - Unity/cocos),"Fountain Head Co Ltd.,","Bangkok, Thái Lan",,25/02/2025,,Việt Nam,,,
"Attention To Detail, Computer Network, Effective Teamwork, English Listening, Problem Solving",2025-03-06,"• computer networks - responsible for installing, configuring and maintaining the computers in a large business;",False,False,IT Technical Support Officer,Công Ty TNHH SX Upgain (Việt Nam),"Lô 64-66-68, Khu chế xuất Linh Trung 1, phường Linh Trung, TP. Thủ Đức, TPHCM",,25/02/2025,,Việt Nam,,,
"UI/ UX design, Figma, Sketch, Sketch, Sketch, Sketch, Sketch",2025-03-06,"- Nghiên cứu hành vi người dùng, phân tích đối thủ và xu hướng thiết kế.",False,False,Senior UI/UX Designer,CÔNG TY TNHH MOVE SYNC,"Đường số 6, khu Z756, Quận 10",,25/02/2025,,Việt Nam,,,
"business analyst, Agile",2025-03-06,Vị trí ,False,False,[Di8] Senior Business Analyst - MSB DF - 3I097,Ngân Hàng Thương Mại Cổ Phần Hàng Hải Việt Nam (MSB),Hà Nội,,25/02/2025,,Việt Nam,,,
"Phân Tích Dữ Liệu, AI/ML, Big Data, Giám Sát Hệ Thống, Quản Lý Rủi Ro",2025-03-06,"• Phân tích và khai thác dữ liệu: Thu thập, làm sạch và xử lý dữ liệu từ nhiều nguồn khác nhau để phục vụ phân tích.",False,False,Chuyên viên Phát triển khoa học dữ liệu - Data Scientist - Khối Công nghệ thông tin (HO25.56),Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,"Hà Nội, Vietnam",,25/02/2025,,Việt Nam,,,
"Field Force Automation, Market Data, Performance Management, Problem-solving, Data Centralization",2025-03-06,I. Summary:,False,False,(Senior) Business Intelligence/ Business Analyst - Abbott Rapid Diagnostics (Open Hà Nội hoặc Hồ Chí Minh) ,Abbott,"Hanoi, Vietnam",,25/02/2025,,Việt Nam,,,
"PMP, Quản Lý Dự Án, Quản Trị Dữ Liệu Lớn, Rà Soát Hợp Đồng, Tableau BI",2025-03-06,"• Triển khai các nội dung liên quan đến quy định pháp luật tại MB để đảm bảo tuân thủ, bao gồm Luật dữ liệu, Luật bảo vệ dữ liệu cá nhân, Luật bảo vệ quyền lợi người tiêu dùng",False,False,Chuyên viên Chính sách dữ liệu - Data Policy Specialist - Khối Dữ liệu (HO25.57),Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,"Hà Nội, Vietnam",,25/02/2025,,Việt Nam,,,
"IT Management, Warehouse Management, IT Project Management, IT Operations, IT Project Planning",2025-03-06,"Establish close and integrated ties with the operating business units by defining, implementing and supporting effective infrastructure, applications and integration to help the business improve efficiencies, reduce costs and support business growth.",False,False,Senior IT Manager,Maersk Vietnam Ltd.,"SOFIC Tower, 10 Đường Mai Chí Thọ, Thủ Thiêm, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,25/02/2025,,Việt Nam,,,
"Kỹ Sư, Triển khai, Technical Engineering, Giải Pháp Công Nghệ, Presales Technical",2025-04-01,"•	Nghiên cứu tìm hiểu về thiết bị, giải pháp, sản phẩm về hạ tầng CNTT (HCI, VDI, bảo mật…).",False,False,Post Sales Engineer (Kỹ Sư Triển Khai Giải Pháp CNTT),Công Ty Cổ Phần Homitech,"Lầu 16, Saigon Tower, 29 Lê Duẩn, P. Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,10/03/2025,,Việt Nam,,,
"Product Management, Product Development, business analyst, product owner",,"Trusting Social has been the leading AI solution provider for the banking industry in Southeast Asia and India in the last 10 years. We are now pioneering Artificial General Intelligence (AGI) solutions to reimagine banking in the post-AGI world. We believe this will spark the next revolution in productivity and experience, like the Internet and mobile computing have done before.",False,False,Product Manager - Generative AI for Enterprise Customer Operations,Trusting Social,"Havana Tower, Hàm Nghi, Bến Thành, District 1, Ho Chi Minh City, Vietnam",,16/02/2025,,Việt Nam,,,
"Cybersecurity, Python, C++, Software Analysis",2025-04-01,"Founded in 2008, First Trust ACPA Vietnam Co., Ltd is a joint venture between First Trust International Group and ACPA Group. We are dedicated to adding value for our clients through a wide range of high-quality professional services, including bookkeeping, fund administration, tax, audit and risk advisory. At the heart of our mission is a commitment to creating a modern, professional working environment and unique corporate culture where our team members can collaborate, grow, and thrive together.",False,False,Vulnerability Researcher,"First Trust ACPA Vietnam CO., LTD","8th floor Hoa Binh Office Building, 106 Hoang Quoc Viet",,10/03/2025,,Việt Nam,,,
"Tài Chính Ngân Hàng, Kinh Doanh Ví Điện Tử, Phát Triển Sản Phẩm",2025-03-06,- Thực hiện các chức năng nhiệm vụ của nhóm ví điện tử:,False,False,Chuyên Viên Vận Hành Hệ Thống Ví Điện Tử (Mức Lương Từ 25.000 Usd/năm) - Làm Việc Tại Mozambique,Movitel S.A,Mozambique,,25/02/2025,,Việt Nam,,,
business analyst,2025-03-06,Vị trí ,False,False,[Di8] Business Analyst Lead (Trưởng Nhóm Phân Tích Nghiệp Vụ) - MSB DF - 3I098,Ngân Hàng Thương Mại Cổ Phần Hàng Hải Việt Nam (MSB),Hà Nội,,25/02/2025,,Việt Nam,,,
"Java, Object Oriented Programming, Spring Boot, Unit Testing, Agile",2025-02-18,"WinWinTek là một chi nhánh tại Việt Nam của công ty hàng đầu tại Hàn Quốc sở hữu giải pháp chuyên về  website cho lĩnh vực giáo dục, tài chính ngân hàng. Hiện đã và đang cung cấp giải pháp cho hơn 100 trường Đại học tại Hàn Quốc.Ngoài  ra,  công ty cũng đang định hướng phát triển mảng Metaverse, Blockchain, AI, Robot.",False,False,Tuyển Dụng Frontend/ Backend Developer ( Middle) Java,CÔNG TY TNHH CÔNG NGHỆ WIN WIN TEK,"Tầng 1 , tòa nhà 361, số 60 Hoàng Quốc Việt",,17/02/2025,,Việt Nam,,,
"Data Analysis, Data Management, DMS System, Data Processing, Accounting",2025-02-18," - Collect data for processing, analysing & reporting for different purposes including:",False,False,Data Analyst,Công Ty TNHH Dầu Thực Vật Khu Vực Miền Bắc Việt Nam,"Phòng 814, tầng 8, tòa nhà Sun Red River, số 23 Phan Chu Trinh, quận Hoàn Kiếm, thành phố Hà Nội",,17/02/2025,,Việt Nam,,,
"Cloud, English, MS Azure, Support Engineer, Technical Support",2025-02-18,"We are, iTechwx, established in mid-2022, with 600 employees across 3 offices within Ho Chi Minh City and 1 office in  Hanoi City. iTechwx dedicates the One-Stop Digital Transformation Service to our customers. Renowned for delivering ",False,False,Technical Support (Fresher with IT Background),ITECHWX COMPANY LIMITED,"1st Floor, S4-01 Tower, The Sun Avenue Building, No. 28 Mai Chi Tho Street, An Phu Ward, Thu Duc City",,17/02/2025,,Việt Nam,,,
"Spring, Spring Boot, Java, Spring Integration, AWS Cloud",2025-02-18,"1. Develop product Finance and Banking in clouding (Spring integration, Java Application, service of AWS cloud) ",False,False,Senior Back-end Developer,LOTTE Finance Vietnam Co. LTD,"Tầng 12A, Tòa tháp Tây, Tòa nhà Lotte Center, số 54 Liễu Giai - P Cống Vị",,17/02/2025,,Việt Nam,,,
