job_skills,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,summary,first_seen,search_city,search_country,search_position,job_level,job_type
"Electrical Knowledge, PLC Programming, AutoCAD Pro, Robotic System Simulation, C++",2025-04-09,DETAILED ACTIVITIES:,False,False,Automation & Controls,FORD Vietnam Limited,"Nhà máy Ford, Hải Dương",,14/03/2025,,Việt Nam,,,
"STEM, CISSP, Security, Security Infrastructure, Security Information",2025-03-22,"We are looking for a dedicated Cyber System Security to ensure the cyber security standards and port facility security plan of Gemalink Terminal are implemented and observed at all time. In the role you will operate independently and as part of a team to ensure our software, hardware, and related components are protected from cyber attacks.",False,False,Cyber System Security Officer,Công Ty Cổ Phần Cảng Cái Mép Gemadept-Terminal Link,"Tân Lộc Hamlet, Phước Hòa Ward, Phú Mỹ Town, Bà Rịa – Vũng Tàu Province, Việt Nam",,05/03/2025,,Việt Nam,,,
"Product Development, Phát Triển Sản Phẩm, Business Intelligence, Business analysis, Power BI",2025-03-18,•	Define the product vision and identify growth opportunities to deliver on the customer value proposition,False,False,"Officer, Product Development – Credit Solution",Techcombank,"HO, Số 6 Phố Quang Trung, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",,03/03/2025,,Việt Nam,,,
"User Support, SLA Control, Asset Management, IT Administration, IT Operations",2025-03-26,- Receive/manage/coordinate support requests from users to ensure SLA,False,False,IT Infra Staff,Công Ty TNHH LG Innotek Việt Nam Hải Phòng,"Hai Phong, Vietnam",,07/03/2025,,Việt Nam,,,
"DBA, Database Administration, Cơ Sở Dữ Liệu, SQL",2025-02-26,"- Cài đặt, cấu hình, nâng cấp, quản trị, giám sát, bảo trì và bảo mật cơ sở dữ liệu Rdbms (Oracle, Postgresql, Mariadb…) hoặc NoSQL (Mongodb, ElasticSearch…)  trong datacenter hoặc trên cloud. ",False,False,VietinBank Tuyển Dụng - CV Quản Trị CSDL DBA / Kỹ Sư Dữ Liệu Bigdata,Ngân Hàng TMCP Công Thương Việt Nam (VietinBank),"Hà Nội, Việt Nam",,21/02/2025,,Việt Nam,,,
"IT Service Management, Application Support, Cloud Platform, Leadership, Aws",2025-03-04,Job Summary,False,False,Assistant Application Support Manager,Công Ty TNHH Bảo Hiểm Liberty,"Tầng 18, Tòa nhà Vincom, 45A Lý Tự Trọng, Phường Bến Nghé, Quận 1",,24/02/2025,,Việt Nam,,,
"ERP, Quản Trị Hệ Thống, SQL, mySQL, Oracle Database",2025-04-01,"- Hỗ trợ triển khai, cài đặt và cấu hình phần mềm ERP theo yêu cầu của công ty.",False,False,Trợ Lý ERP (Thu Nhập Hấp Dẫn),Công Ty TNHH SX & TM Thép Tây Nam,"1073-1074 Đường Đông - Tây, Phước Kiển, Nhà Bè, TP.HCM",,10/03/2025,,Việt Nam,,,
"IT Security, Quản Trị Rủi Ro Thông Tin, An Ninh Dữ Liệu, Bảo Mật Dữ Liệu, IT Audit",2025-03-10,"•	Giám sát và kiểm tra IT trong việc triển khai các biện pháp kiểm soát an ninh, quy trình giám sát an ninh, ứng cứu sự cố an ninh thông tin trên các hệ thống CNTT đồng thời đưa ra các khuyến nghị giúp nâng cao giám sát và ứng cứu sự cố an ninh;",False,False,"Chuyên Gia Quản Lý Rủi Ro An Ninh Thông Tin Cấp 2, Phòng Quản Trị Rủi Ro Hoạt Động, Khối Quản Trị Rủi Ro",Ngân Hàng TMCP Đại Chúng Việt Nam,"22 Phố Ngô Quyền, Trang Tien, Hoàn Kiếm, Hanoi, Vietnam",,27/02/2025,,Việt Nam,,,
"Công Nghệ Thông Tin, Quản Trị Cơ Sở Dữ Liệu, MIS, T24, Tài Chính Kế Toán",2025-03-10,-Hỗ trợ Trưởng/Phó phòng/Trưởng bộ phận trong công tác triển khai các công việc của phòng theo sự phân công.,False,False,"Chuyên Gia Quản Trị Cơ Sở Dữ Liệu, Phòng Mis, Khối TCKT",Ngân Hàng TMCP Đại Chúng Việt Nam,Số 22 Ngô Quyền - Hà Nội - Việt Nam,,27/02/2025,,Việt Nam,,,
"Python, Computer Science, Aws, Machine Learning, Power BI",2025-04-03,Technology expertise,False,False,Data Analyst,"Nestlé Vietnam Ltd.,",Ho Chi Minh,,11/03/2025,,Việt Nam,,,
"English, Leadership, Project Managements, presentation, Teamwork",2025-03-04," là chương trình chuyên biệt có lộ trình 24 tháng dành riêng cho những tài năng trẻ, đam mê đổi mới và muốn tạo ra dấu ấn trong lĩnh vực ",False,False,Chương Trình Quản Trị Viên Tiềm Năng Trong Lĩnh Vực Fintech F88 Next Gen,Công Ty Cổ Phần Kinh Doanh F88,"Tòa nhà N01A - Số 275 đường Nguyễn Trãi, quận Thanh Xuân, Hà Nội.",,24/02/2025,,Việt Nam,,,
".Net Core, C#, Problem-solving, SQL Server, SQL Server, Website Development",2025-03-04,We are seeking an experienced .NET Developer to join our dynamic team.,False,False,Software Engineer (.Net Full-stack Developer),MCGAAW,"5th Floor, Unit 5.4&5.5, E-Town 1, 364 Cong Hoa Street, Tan Binh District, Ho Chi Minh City, VietNam",,24/02/2025,,Việt Nam,,,
"Customer Development, Document Management, Problem Solving, Sales Operation, Solution Design",2025-03-04," Accurately understand customer requirements, match the optimal product solution, analyze and locally adapt product and solution competition strategies, complete bidding configuration and quotation, solve customer technical and commercial problems.",False,False,Product Engineer (Solar & Energy Storage Business) - Fresher,Công Ty TNHH Công Nghệ Huawei Việt Nam,"9F, Vincom Dong Khoi Tower, No.72 Le Thanh Ton, Ben Nghe, District 1, HCMC",,24/02/2025,,Việt Nam,,,
"Công Nghệ Thông Tin, Hardware, Kỹ Thuật Máy Tính, IT support, IT System - Network",2025-03-04,"-	Quản lý và bảo trì phần cứng, phần mềm, các thiết bị liên quan đến hệ thống IT;",False,False,"Kĩ Sư, Kỹ Thuật Viên Công Nghệ Thông Tin - Chấp Nhận Ứng Viên Mới Ra Trường",Công Ty TNHH TOA Việt Nam,Lô D1 - KCN Thăng Long - Võng La - Đông Anh - Hà Nội,,24/02/2025,,Việt Nam,,,
"Công Nghệ Thông Tin, Điện Tử Viễn Thông, Bảo Mật Web, Hệ điều hành Linux, Giao Tiếp Tiếng Anh",2025-03-04,"• Tìm hiểu, tư vấn giải pháp, sản phẩm công nghệ dịch vụ trong lĩnh vực CNTT/ Viễn thông.",False,False,"Kỹ Sư Công Nghệ Thông Tin, Điện Tử Viễn Thông",Công ty Cổ phần Công nghệ GCOM,"Số 8 khu nhà vườn Vĩnh Hoàng giai đoạn 1, phường Hoàng Văn Thụ, Quận Hoàng Mai",,24/02/2025,,Việt Nam,,,
"Java, Mobile Application Development, Problem-solving, React Native, Typescript",2025-03-04,We are seeking a talented Mobile Development Engineer to join our dynamic team. The ideal candidate will have a passion for creating high-quality mobile applications and a strong understanding of mobile development frameworks and best practices.,False,False,Software Engineer (Mobile Developer),MCGAAW,"5th Floor, Unit 5.4&5.5, E-Town 1, 364 Cong Hoa Street, Tan Binh District, Ho Chi Minh City, VietNam",,24/02/2025,,Việt Nam,,,
"Communication Skills, Docker, Docker, Docker, JavaScript, NodeJS, ReactJS",2025-03-04,• Developing Web.,False,False,Software Engineer (Web Developer),MCGAAW,"5th Floor, Unit 5.4&5.5, E-Town 1, 364 Cong Hoa Street, Tan Binh District, Ho Chi Minh City, VietNam",,24/02/2025,,Việt Nam,,,
"Data Warehouse, ETL, SQL, Python, Power BI",2025-03-04,"-	Quản lý, vận hành dữ liệu trên kho dữ liệu datalake, data warehouse, data mart",False,False,Data Engineer,Công Ty Cổ Phần Gemadept,"Tòa nhà CJ 06 Lê Thánh Tôn, phường Bến Nghé, quận 01, Tp.HCM",,24/02/2025,,Việt Nam,,,
"Power BI, Data Analysis, SQL, Data Storytelling, Phân Tích Dữ Liệu",2025-03-04,"-	Quản lý, vận hành dữ liệu trên data mart, data model",False,False,Data Analyst,Công Ty Cổ Phần Gemadept,"Tòa nhà CJ 06 Lê Thánh Tôn, phường Bến Nghé, quận 01, Tp.HCM",,24/02/2025,,Việt Nam,,,
"C++, Automotive, HMI, MVC, OOAD",2025-02-26,Life‘s good with LG!,False,False,"C/C++ Software Engineer - Salary Up to 2,500$ Hybrid Working",LG Electronics Development Viet Nam Company Limited,"272 Vo Chi Cong st, Phu Thuong, Tay Ho, Ha Noi",,21/02/2025,,Việt Nam,,,
"Support DMS, System Administration, Sales Admin, IT Helpdesk, DMS System",2025-03-18,- Quản lý tồn máy DMS,False,False,Sales Admin (DMS Specialist),"Orion Food Vina Co,. Ltd - Head Office","22th Floor, Pearl Plaza, 561A Dien Bien Phu St, Ward 25, Binh Thanh Dist, HCMC",,03/03/2025,,Việt Nam,,,
"Java, API Testing, Web Automation Testing, Ci/Cd Pipelines, Automation Test Script",2025-04-01,- Collaborate with the development/business team to understand product requirements and design test plans. ,False,False,Experienced Automation Tester,Capgemini Vietnam,"Centre Point, 106 Nguyễn Văn Trỗi, Phường 08, Quận Phú Nhuận, Thành phố Hồ Chí Minh",,10/03/2025,,Việt Nam,,,
"Data Transformation, Machine Learning, SQL, Data Visualization, Python",2025-04-07,"• Write clean, efficient, and well-documented code for data wrangling, manipulation, and analysis.",False,False,AI Engineer,Công Ty TNHH LG Innotek Việt Nam Hải Phòng,"Lô I-4, Khu công nghiệp Tràng Duệ, thuộc khu kinh tế Đình Vũ Cát Hải, Xã Hồng Phong, Huyện An Dương, Thành phố Hải Phòng",,13/03/2025,,Việt Nam,,,
"IT Infrastructure, System Integrators, IT Governance, Cloud, Vendor Management",2025-04-05,"The Senior Expert, IT Architecture will play a critical role in setting up and designing the IT infrastructure and application architecture for a newly established life insurance company. This role will focus on defining the enterprise IT architecture strategy, ensuring system scalability, seamless integration with Techcombank and third-party platforms, and supporting the digital transformation of insurance operations. The Senior Expert will work closely with business teams, IT vendors, and external partners to ensure a robust, secure, and future-proof technology foundation.",False,False,"Senior Expert, IT Architecture (Insurance Experience)",Techcombank,Ha Noi,,12/03/2025,,Việt Nam,,,
"Application Development, Cybersecurity, IT Application, Machine Learning, System implementation",2025-04-05,"The Senior Expert, Application in the IT Division will play a key role in setting up, developing, and optimizing application systems for a newly established life insurance company. This role will focus on designing and implementing core insurance applications, ensuring seamless integration with distribution platforms, underwriting, claims, and policy administration systems. The Senior Expert will work closely with business teams, Techcombank, IT vendors, and third-party technology partners to ensure that digital solutions align with business needs, regulatory requirements, and customer experience expectations.",False,False,"Senior Expert, Application (IT Division- Insurance Experience)",Techcombank,"Techcombank HO, số 6 Quang Trung, Hoàn Kiếm, Hà Nội",,12/03/2025,,Việt Nam,,,
"Bảo Trì Hệ Thống Máy Tính, Xử Lý Sự Cố, Quản Lý Cở Sở Dữ Liệu, Hạ Tầng Công Nghệ, IT Support, IT Support, IT Support, IT Support",2025-03-04,"•   Vận hành ứng dụng và hạ tầng công nghệ thông tin đảm bảo tính ổn định, an toàn, an ninh thông tin;",False,False,[Tuyển Gấp] Nhân Viên IT Helpdesk,Công ty Cổ phần Logistics Hàng không (ALS),Tầng 4 – Nhà ga hàng hóa ALS – Phú Minh – Sóc Sơn – Hà Nội,,24/02/2025,,Việt Nam,,,
"Java, .NET, OOP, Data Modeling, Software Development",2025-02-26,"Netcompany is currently looking for ambitious graduates to join us on a permanent basis to drive forward our delivery capability and deliver the optimum solutions to our clients in Europe. You will join our strong and dedicated team based in Ho Chi Minh City, where you will have the opportunity to work with some of the most skilled IT consultants in Vietnam and our technically skilled employees in Europe. ",False,False,Software Developer (Fresher and Junior),Netcompany,"Opal Tower 92 Nguyen Huu Canh, Ward 22, Binh Thanh District, HCMC",,21/02/2025,,Việt Nam,,,
"Bảo Mật Dữ Liệu, Lập Trình, SQL, Python, Java",2025-03-04,- Xử lý lỗi sản phẩm chương trình khi có phát sinh đối với phân hệ phụ trách.,False,False,Chuyên Viên Phát Triển Ứng Dụng CNTT,Ngân Hàng TMCP Xuất Nhập Khẩu Việt Nam (Eximbank),"Hồ Chí Minh, Thành phố Hồ Chí Minh, Việt Nam",,24/02/2025,,Việt Nam,,,
