job_title,company,job_location,search_city,search_country,job_level,branch,job_skills,last_processed_time,url
Kế Toán Tổng Hợp (Long Biên – Hà Nội),Công Ty TNHH Khoa Học Kỹ Thuật Jia Xin Việt Nam,"Tòa nhà Plaschem Tower | 562 Nguyễn Văn Cừ, Long Biên",Long Biên,Việt Nam,Chuyên viên- nhân viên,"Kế toán, Kiểm toán, Tài chính - Đầu tư - Chứng Khoán","- Tốt nghiệp Đại học chuyên ngành tài chính – kế toán, - Có ít nhất kinh nghiệm từ 02 năm trở lên ở vị trí tương đương - Excel tốt, hạch toán nghiệp vụ kế toán chính xác - Kỹ năng lập kế hoạch, kiểm soát công việc - Trung thực, cẩn thận, chính xác. - Sử dụng phần mềm kế toán tốt",24/03/2025 07:59,https://vieclam24h.vn/ke-toan/ke-toan-tong-hop-long-bien-ha-noi-c17p73id200514961.html?open_from=0201_32_4&search_id=f8d305fe0235d20726a43fd516e79051
Cán Bộ Tư Vấn Giám Sát Công Trình,Công Ty Cổ Phần Tư Vấn Xây Dựng BEACONS Việt Nam,"Thôn Nhuệ, Xã Đức Thượng, Huyện Hoài Đức, Hà Nội",Hà Nội,Việt Nam,Chuyên viên- nhân viên,"Xây dựng, Điện - Điện tử - Điện lạnh, Khoa học - Kỹ thuật","- Trình độ đại học các chuyên ngành phù hợp.- Có kinh nghiệm từ 03 năm trở lên. Ưu tiên có kinh nghiệm đã từng làm Tư Vấn Giám Sát.- Có chứng chỉ tư vấn giám sát hạng III trở lên - Có Sức khỏe tốt, Nhiệt tình, và Trách nhiệm với công việc- Có khả năng làm việc độc lập và Kỹ năng làm việc nhóm tốt.",24/03/2025 07:59,https://vieclam24h.vn/xay-dung/can-bo-tu-van-giam-sat-cong-trinh-c31p99id200530537.html?open_from=0201_32_5&search_id=f8d305fe0235d20726a43fd516e79051
Nhân Viên Kinh Doanh Sàn Gỗ Lương 10-16 Triệu + Hoa Hồng Cao,Công Ty TNHH Xây Dựng Và Thương Mại Penta C&t,"Số 7, ngõ 58 Khúc Thừa Dụ, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Hà Nội,Việt Nam,Chuyên viên- nhân viên,"Bán hàng - Kinh doanh, Bán sỉ - Bán lẻ - Quản lý cửa hàng, Chăm sóc khách hàng","Ưu tiên ứng viên đã có kinh nghiệm liên quan đến kinh doanh bán hàng, biết lái xe là 1 lợi thếKhông yêu cầu kinh nghiệm, chưa có công ty đào tạo cầm tay chỉ việcĐộ tuổi: 22 - 30 tuổiKhả năng thiết lập mối quan hệ thân thiết với khách hàngChăm chỉ, cầu tiến, có khát vọng kiếm tiền.Kỹ năng thuyết phục, thương lượng. Chủ động, kiên nhẫn, giao tiếp tốt.Sức khoẻ tốt, ngoại hình cân đối, ưa nhìn.Trung thực, có tinh thần trách nhiệm cao.Có khả năng làm việc độc lập và theo nhóm.",24/03/2025 08:52,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-san-go-luong-10-16-trieu-hoa-hong-cao-c13p73id200528727.html?open_from=0201_32_6&search_id=f8d305fe0235d20726a43fd516e79051
"Nhân Viên Cơ Khí CNC, Lương 10 - 15 Triệu",Công Ty TNHH SX TM DV Vật Liệu Làm Kín Lê Gia,"26/12E, Ấp Xuân Thới Đông 1, Xã Xuân Thới Đông, Huyện Hóc Môn, Tp.HCM",Tp.HCM,Việt Nam,Chuyên viên- nhân viên,"Cơ khí - Ô tô - Tự động hóa, Vận hành - Bảo trì - Bảo dưỡng, Điện - Điện tử - Điện lạnh","- Có kỹ năng cơ bản về cơ khí.- Biết vẽ CAD- Ưu tiên có kinh nghiệm làm qua tiện, phay CNC,...",24/03/2025 07:59,https://vieclam24h.vn/co-khi-o-to-tu-dong-hoa/nhan-vien-co-khi-cnc-luong-10-15-trieu-c47p122id200532049.html?open_from=0201_32_7&search_id=f8d305fe0235d20726a43fd516e79051
"Kiến Trúc Sư Thiết Kế Kiến Trúc, Quy Hoạch (Đi Làm Ngay)",Công Ty Cổ Phần Tư Vấn Đầu Tư Xây Dựng Và Phát Triển Đô Thị (Ucic),"Tầng 5 (sảnh thương mại), tháp B2, tòa nhà Roman Plaza, đường Tố Hữu, Hà Nội",Hà Nội,Việt Nam,Chuyên viên- nhân viên,"Kiến trúc - Thiết kế nội ngoại thất, Xây dựng, Thiết kế - Sáng tạo nghệ thuật","- Tốt nghiệp Đại học kiến trúc ngành: kiến trúc, quy hoạch.- Sử dụng thành thạo các phần mềm đồ họa: AutoCad, 3DsMax, Photoshop, Sketchup. - Ưu tiên có chứng chỉ hành nghề KTS.",24/03/2025 07:59,https://vieclam24h.vn/kien-truc-thiet-ke-noi-ngoai-that/kien-truc-su-thiet-ke-kien-truc-quy-hoach-di-lam-ngay-c4p73id200523793.html?open_from=0201_32_8&search_id=f8d305fe0235d20726a43fd516e79051
Kỹ Sư  Xây Dựng (Cầu Đường ),Công Ty Cổ Phần Xây Dựng Đầu Tư Đông An,"Số nhà 154 – 156 đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",Việt Nam,Việt Nam,Chuyên viên- nhân viên,"Xây dựng, Khoa học - Kỹ thuật, Quản lý dự án","Tốt nghiệp các trường có chuyên ngành xây dựng,Kinh nghiệm >2 năm, ưu tiên ứng viên đã từng thực hiện các công việc văn phòng, các công việc như mô tả nêu trên.Kỹ năng sử dụng phần mềm văn phòng, các phần mềm hỗ trợ trong công việc.",24/03/2025 07:59,https://vieclam24h.vn/xay-dung/ky-su-xay-dung-cau-duong-c31p73id200525752.html?open_from=0201_32_9&search_id=f8d305fe0235d20726a43fd516e79051
"Nhân Viên Kinh Doanh (Sản Phẩm Cửa Nhôm Kính, Cửa Cuốn)",Công Ty TNHH Thương Mại Và Sản Xuất Hoàng Thắng,Khu liên hợp sản suất  Đường Vũ Hữu Lợi - Phường Cửa Nam - TP Nam Định,Khu liên hợp sản suất  Đường Vũ Hữu Lợi - Phường Cửa Nam - TP Nam Định,Việt Nam,Chuyên viên- nhân viên,"Bán hàng - Kinh doanh, Bán sỉ - Bán lẻ - Quản lý cửa hàng, Sản xuất - Lắp ráp - Chế biến","+ Tốt nghiệp cấp 3 trở lên+ Kinh nghiệm : không có kinh nghiệm sẽ được đào tạo.+ Am hiểu kiến thức về thị trường, tâm lý khách hàng, đối thủ cạnh tranh và hoạt động kinh doanh.+ Kỹ năng tìm kiếm khách hàng.+ Kỹ năng giao tiếp, đàm phán.+ Am hiểu các quy chuẩn, tiêu chuẩn, quy định trong lĩnh vực xây dựng, nhôm kính.+ Biết lái xe ô tô là lợi thế+ Ưu tiên ứng viên thường trú tại địa bàn của tuyến",24/03/2025 08:55,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-san-pham-cua-nhom-kinh-cua-cuon-c13p96id200522031.html?open_from=0201_32_10&search_id=f8d305fe0235d20726a43fd516e79051
Kiến Trúc Sư Quy Hoạch,Công Ty Cổ Phần Tư Vấn Đầu Tư Quy Hoạch Kiến Trúc – Đô Thị Hà Nội,"A12 TT17, Khu đô thị Văn Quán, Quận Hà Đông, Hà Nội",Hà Nội,Việt Nam,Chuyên viên- nhân viên,"Kiến trúc - Thiết kế nội ngoại thất, Xây dựng, Bất động sản","- Tốt nghiệp Cao Đẳng. Đại Học chuyên ngành Quy hoạch, kiến trúc - Ưu tiên người có kinh nghiệm từ 1 năm  - Có khả năng làm việc độc lập cũng như làm việc nhóm - Nhanh nhẹn, trung thực và chăm chỉ - Có thể gắn bó lâu dài với công ty",24/03/2025 08:58,https://vieclam24h.vn/kien-truc-thiet-ke-noi-ngoai-that/kien-truc-su-quy-hoach-c4p73id200529409.html?open_from=0201_32_11&search_id=f8d305fe0235d20726a43fd516e79051
Nhân Viên Kế Toán Tổng Hợp,Công Ty Cổ Phần Giải Pháp Nền Tảng Truyền Thông Và Thông Tin,"Lầu 15 Cao ốc Phượng Long 2, số 16 Nguyễn Trường Tộ, phường 13, Quận 4, TP Hồ Chí Minh",TP Hồ Chí Minh,Việt Nam,Chuyên viên- nhân viên,"Kế toán, Kiểm toán, Tài chính - Đầu tư - Chứng Khoán","- Giới tính: Nữ, tuổi từ 22 tuổi – 25 tuổi.- Trình độ văn hóa: Tốt nghiệp ≥ cao đẳng (ngành kế toán tài chính hoặc tương đương).- Kinh nghiệm thực tế: >= 1 năm trong lĩnh vực kế toán. Ưu tiên ứng viên đã có kinh nghiệm ở vị trí tương đương. * Kỹ năng cần có:- Kỹ năng lập kế hoạch.- Kỹ năng phân tích, tổng hợp, làm báo cáo.- Kỹ năng tổ chức, sắp xếp công việc khoa học, hiệu quả.- Kỹ năng giao tiếp tốt.- Kỹ năng sử dụng phần mềm. Ưu tiên ứng viên biết sử dụng thành thạo phần mềm Misa (Amis, CRM, Quy trình,…)- Tiếng Anh: nghe, nói, đọc, viết “trung bình khá”.- Kiểm soát và bảo mật thông tin* Phẩm chất cá nhân:- Kỷ luật, có khả năng chịu áp lực cao trong công việc.- Trung thực, dũng cảm, nhiệt tình, nhanh nhẹn trong công tác.- Chủ động, sáng tạo trong công việc.- Mềm dẻo trong việc xử lý quan hệ KH. - Thời gian kết thúc nhận hồ sơ: dự kiến 31/03/2025 - Thời gian phỏng vấn: dự kiến 15/04/2025- Thời gian nhận việc: dự kiến 05/05/2025",24/03/2025 08:52,https://vieclam24h.vn/ke-toan/nhan-vien-ke-toan-tong-hop-c17p122id200522919.html?open_from=0201_32_12&search_id=f8d305fe0235d20726a43fd516e79051
Nhân Viên Chăm Sóc Khách Hàng,Công Ty TNHH Bảo Hiểm Nhân Thọ Dai-Ichi Việt Nam,"149-151 Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, TP Hồ Chí Minh",TP Hồ Chí Minh,Việt Nam,Chuyên viên- nhân viên,"Bán hàng - Kinh doanh, Bảo hiểm, Chăm sóc khách hàng","Độ tuổi 22-40, tốt nghiệp Đại học – không giới hạn chuyên ngành, chỉ cần bạn có khát vọng!Không cần kinh nghiệm? Đừng lo, chúng tôi sẽ biến bạn từ “người mới” thành “ngôi sao” với chương trình đào tạo đỉnh cao!Bạn có kỹ năng giao tiếp sắc bén, khả năng thuyết phục tự nhiên và một trái tim luôn hướng tới thành công? Đây chính là chỗ của bạn!",24/03/2025 08:59,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-cham-soc-khach-hang-c13p122id200524128.html?open_from=0201_32_13&search_id=f8d305fe0235d20726a43fd516e79051
