job_title,company,job_location,search_city,search_country,job_level,branch,job_skills,last_processed_time,url
Cán Bộ Hồ Sơ Thanh Quyết Toán - Dự Án Sân Bay Long Thành,Công Ty CP Hóa Chất Xây Dựng Bách Khoa,"Phòng 2904, tháp A, chung cư thăng long Number one, 289 Khuất Duy Tiến, Trung Hòa, Cầu Giấy, HN",HN,Việt Nam,Chuyên viên- nhân viên,"Xây dựng, Hành chính - Thư ký, Quản lý tiêu chuẩn và chất lượng","- Độ tuổi yêu cầu : 25- 45 tuổi- Ưu tiên ứng viên có kinh nghiệm ở vị trí liên quan, chưa có kinh nghiệm được hỗ trợ đào tạo bài bản- Kỹ năng lập kế hoạch.- Kỹ năng quản lý dự án, lập dự toán, lập hồ sơ thầu- Sử dụng thành thạo tin học văn phòng",24/03/2025 08:36,https://vieclam24h.vn/xay-dung/can-bo-ho-so-thanh-quyet-toan-du-an-san-bay-long-thanh-c31p120id200532381.html?open_from=0201_1_1&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Tiếp Thị Thiết Bị Nội Thất Cho Nhà Hàng Khách Sạn,Công Ty TNHH Đầu Tư Xây Dựng Quân Đạt,"Số 7 đường số 12 KDC Cityland, Phường 10, Gò Vấp, TP HCM",TP HCM,Việt Nam,Chuyên viên- nhân viên,"Khách sạn - Nhà hàng - Du lịch, Bán hàng - Kinh doanh, Bán sỉ - Bán lẻ - Quản lý cửa hàng","- Tự tin, hướng ngoại - Có tố chất kinh doanh.- Chịu khó, đam mê công việc.- Kinh nghiệm 1 năm ở vị trí tương đương.- Sức khỏe tốt, cẩn thận, trách nhiệm cao với công việc, trung thực, thẳng thắn.",24/03/2025 08:35,https://vieclam24h.vn/khach-san-nha-hang-du-lich/nhan-vien-tiep-thi-thiet-bi-noi-that-cho-nha-hang-khach-san-c5p122id200532402.html?open_from=0201_1_2&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Kinh Doanh Thị Trường - Thu Nhập 50 Triệu,Công Ty TNHH Fusion Group,"Số 18, Tăng Nhơn Phú, Phường Phước Long B, Thành Phố Thủ Đức, Hồ Chí Minh",Hồ Chí Minh,Việt Nam,Chuyên viên- nhân viên,"Bán hàng - Kinh doanh, Bán sỉ - Bán lẻ - Quản lý cửa hàng, Marketing","Nam/nữ: 20-35 tuổi, Sức khoẻ tốtTrình độ: Tốt nghiệp Đại Học trở lênKỹ năng:+ Có kiến thức về Sale, bán hàng+ Khả năng thuyết phục, đám phán với khách hàng.+ Giao tiếp tốt, Hoạt ngôn, trung thực, đam mê kinh doanhƯu tiên: Ứng viên từng làm việc trong mảng Pet food hoặc ứng viên từng học chuyên ngành thú y.Kinh nghiệm từng làm nhân viên kinh doanh thị trường từ 6 tháng - tới 1 nămTốt nghiệp đại học nông lâm hoặc các trường liên quan đến thú y là 1 lợi thế",24/03/2025 08:35,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-thi-truong-thu-nhap-50-trieu-c13p122id200525261.html?open_from=0201_1_3&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Kỹ Sư Phụ Trách Hồ Sơ Thanh Quyết Toán,Công ty CP đá Granite & Marble Tự Nhiên Thiên Sơn,"Lô 22 C2, Khu đô thị Nam Trung Yên, Cầu Giấy, Hà Nội, Cầu Giấy",Cầu Giấy,Việt Nam,Chuyên viên- nhân viên,"Xây dựng, Quản lý dự án, Điện - Điện tử - Điện lạnh","- Chúng tôi mong muốn tìm được những ứng viên có nhiệt huyết với công việc, tinh thần chiến đấu cao, quyết tâm đạt được những thành tựu lớn trong sự nghiệp của mình.- Đặc biệt đề cao tính tự giác, trách nhiệm cao trong công việc, làm gương sáng cho mọi người noi theo, luôn suy nghĩ và phấn đấu hết mình để hoàn thành công việc một cách xuất sắc. - Hoàn cảnh gia đình – Lí lịch rõ ràng; Cam kết gắn bó lâu dài với công ty; Sức khoẻ, chịu khó, trung thực và cầu tiến.- Tuổi tuyển dụng: 24 - 35 tuổi. Trình độ Cao Đẳng Xây Dựng, Đại học XD trở lên, có ít nhất 03 năm kinh nghiệm trở lên, đã làm công việc tương tự, và khả năng làm việc độc lập thật sự.",24/03/2025 08:35,https://vieclam24h.vn/xay-dung/ky-su-phu-trach-ho-so-thanh-quyet-toan-c31p73id200521787.html?open_from=0201_1_4&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Kinh Doanh Nội Thất (Không Yêu Cầu Kinh Nghiệm),Công Ty Cổ Phần Kiến Trúc Kẻ Vẽ,"Tầng 7, Tòa nhà D' Office số 28 đường Thành Thái, Quận Cầu Giấy, TP. Hà Nội",TP. Hà Nội,Việt Nam,Chuyên viên- nhân viên,"Bán hàng - Kinh doanh, Kiến trúc - Thiết kế nội ngoại thất, Chăm sóc khách hàng","- Không yêu cầu kinh nghiệm. Ưu tiên ứng viên có kinh nghiệm làm NVKD về bất động sản, bảo hiểm, ô tô hoặc bán hàng nói chung; - Tuổi từ 21 – 28 tuổi.- Yêu thích cái đẹp và đam mê kinh doanh;- Có laptop cá nhân, xe máy và điện thoại smartphone;- Nhạy bén, chăm chỉ và ham học hỏi về kiến thức và kỹ năng cho công việc;- Kỹ năng giao tiếp, thuyết phục, đàm phán tốt",24/03/2025 08:35,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-noi-that-khong-yeu-cau-kinh-nghiem-c13p73id200530230.html?open_from=0201_1_5&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Giám Sát Cơ Điện Lương 15- 20 Triệu,Công Ty TNHH Một Thành Viên Du Lịch Giải Trí Thiên Đường Bảo Sơn,Km 5+200 - Đường Lê Trọng Tấn - An Khánh - Hoài Đức - Hà Nội,Km 5+200 - Đường Lê Trọng Tấn - An Khánh - Hoài Đức - Hà Nội,Việt Nam,Quản lý nhóm- giám sát,"Điện - Điện tử - Điện lạnh, Cơ khí - Ô tô - Tự động hóa, Khoa học - Kỹ thuật","- Tốt nghiệp đại học, cao đẳng chuyên ngành kỹ thuật, - Có 3 đến 5 năm kinh nghiệm thực tế thi công, chế tạo, sửa chữa về cơ điện",24/03/2025 08:35,https://vieclam24h.vn/dien-dien-tu-dien-lanh/giam-sat-co-dien-luong-15-20-trieu-c41p73id200525942.html?open_from=0201_1_6&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Thủ Kho - Củ Chi (Đi Làm Ngay),Công Ty Cổ Phần Hóa Dầu Sài Gòn,"Số 640, Đường Tỉnh Lộ 7, Ấp Mỹ Khánh B, Xã Thái Mỹ, Huyện Củ Chi, Thành phố Hồ Chí Minh",Thành phố Hồ Chí Minh,Việt Nam,Chuyên viên- nhân viên,"Bán hàng - Kinh doanh, Kế toán, Sản xuất - Lắp ráp - Chế biến",• Tốt nghiệp Trung Cấp trở lên • Biết sử dụng phần mềm MISA là 1 lợi thế .• Kinh nghiệm ít nhất 02 năm trở lên,24/03/2025 08:34,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-thu-kho-cu-chi-di-lam-ngay-c13p122id200531362.html?open_from=0201_1_7&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Kỹ Sư Giám Sát Điện - Cơ - Xây Dựng (Lương Cứng 15 - 20 Triệu) - Đi Làm Ngay,Công Ty Cổ Phần Tập Đoàn Công Nghiệp Việt,"Tầng 8 - Tòa nhà Sliver Wings 137A Nguyễn Văn Cừ, Long Biên, Hà Nội, Việt Nam",Việt Nam,Việt Nam,Chuyên viên- nhân viên,"Điện - Điện tử - Điện lạnh, Cơ khí - Ô tô - Tự động hóa, Xây dựng","1. Kiến thức và kinh nghiệm- Trình độ học vấn: Tốt nghiệp Đại học các chuyên ngành liên quan- Kinh nghiệm: Có ít nhất 1 năm kinh nghiệm giám sát thi công thực tế- Am hiểu kiến thức về các quy chuẩn, tiêu chuẩn kỹ thuật.2. Kỹ năng- Kỹ năng giao tiếp: có khả năng giao tiếp với Chủ đầu tư, nhà thầu, nội bộ...- Kỹ năng lập kế hoạch, quản lý công việc- Kỹ năng giải quyết vấn đề- Kỹ năng làm việc nhóm- Kỹ năng lập báo cáo3. Thái độ - Trách nhiệm- Trung thực- Cẩn thận- Tính sẵn sàng cao4. Yêu cầu khác - Giới tính: Nam- Độ tuổi: từ 23 – 35 tuổi- Yêu cầu đặc thù công việc:+ Có sức khỏe tốt, có thể giám sát thi công với điều kiện thời tiết nắng, mưa+ Khả năng thích nghi nhanh với môi trường làm việc và quy trình làm việc mới.- Thời gian thử việc 02 tháng",24/03/2025 08:34,https://vieclam24h.vn/dien-dien-tu-dien-lanh/ky-su-giam-sat-dien-co-xay-dung-luong-cung-15-20-trieu-di-lam-ngay-c41p83id200531857.html?open_from=0201_1_8&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Trưởng  Phòng Kinh Doanh Thu Nhập 50- 300 Triệu / Tháng,Công Ty Cổ Phần Bất Động Sản Thế Kỷ,"Tầng 1, Tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, Quận Đống đa, Hà Nội",Hà Nội,Việt Nam,Quản lý cấp trung,"Bán hàng - Kinh doanh, Bất động sản, Tài chính - Đầu tư - Chứng Khoán","Tốt nghiệp Đại Học. Có kinh nghiệm ít nhất 3 -5 năm quản lý kinh doanh. Ưu tiên ứng viên quản lý cấp cao từ bảo hiểm, ngân hàng, tài chính Kỹ năng quản trị nhân sự, xây dựng hệ thống, kỹ năng đào tạo. Có kiến thức về BĐS và các kênh đầu tư.",24/03/2025 08:34,https://vieclam24h.vn/ban-hang-kinh-doanh/truong-phong-kinh-doanh-thu-nhap-50-300-trieu-thang-c13p73id200524708.html?open_from=0201_1_9&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Sale Phát Triển Thị Trường,Công Ty Cổ Phần Nanucare,"Hà Nội: 36A Galaxy 1, Khu Ngân Hà Vạn Phúc, Phường Vạn Phúc, Hà Đông",Hà Đông,Việt Nam,Chuyên viên- nhân viên,"Bán hàng - Kinh doanh, Y tế - Chăm sóc sức khỏe","- Có kinh nghiệm sale thị trường ,phát triển đại lý, ưu tiên ngành hàng tiêu dùng, thực phẩm chức năng, làm đẹp, sản phẩm dinh dưỡng, thực phẩm bổ sung,- Kỹ năng giao tiếp, quản lý công việc, đàm phán tốt,- Nhanh nhẹn chịu khó, chủ động trong công việc, sẵn sàng đi thị trường- Có tinh thần phấn đấu và cố gắng hết mình để đạt được kết quả được giao- Có kiến thức và network phân phối về mảng sức khỏe, dinh dưỡng, làm đẹp là một lợi thế.",24/03/2025 08:34,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-sale-phat-trien-thi-truong-c13p73id200531991.html?open_from=0201_1_10&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Giáo Viên Mầm Non - Đi Làm Ngay,Trường Mầm Non Thế Giới Tuổi Thơ (Babyworld),"125 Nguyễn Hữu Cảnh, Đông B, Đông Hòa, Tp. Dĩ An, Bình Dương",Bình Dương,Việt Nam,Chuyên viên- nhân viên,"Giáo dục - Đào tạo, Nghề nghiệp khác, Y tế - Chăm sóc sức khỏe","- Tốt nghiệp Trung cấp/Cao đẳng/Đại học chuyên ngành Giáo dục Mầm non hoặc có chứng chỉ nghiệp vụ liên quan.- Yêu trẻ, kiên nhẫn, có tinh thần trách nhiệm cao trong công việc.- Có khả năng giao tiếp tốt, linh hoạt trong xử lý tình huống.- Ưu tiên ứng viên có kinh nghiệm giảng dạy tại các trường mầm non.- Biết cách xây dựng môi trường học tập sáng tạo, kích thích sự phát triển của trẻ.",24/03/2025 08:34,https://vieclam24h.vn/giao-duc-dao-tao/giao-vien-mam-non-di-lam-ngay-c32p119id200522461.html?open_from=0201_1_11&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Marketing Tổng Hợp - Đi Làm Ngay,Công Ty TNHH Norang Company,"Căn số 00.03, Tháp B, Chung cư SADORA - Số 2, đường số 13 - Phường Thủ Thiêm - Thành phố Thủ Đức - TP Hồ Chí Minh.",đường số 13 - Phường Thủ Thiêm - Thành phố Thủ Đức - TP Hồ Chí Minh.,Việt Nam,Chuyên viên- nhân viên,"Marketing, Thông tin - Truyền thông - Quảng cáo","- Trình độ học vấn: ít nhất bằng Cử nhân về Marketing hoặc các lĩnh vực liên quan với chuyên ngành Marketing.- Kinh nghiệm: ít nhất 1 năm kinh nghiệm Marketing tổng hợp.- Máy tính / phần mềm: MS Office (Microsoft Word, Excel và PowerPoint).- Có kinh nghiệm làm SEO, Google Ads là một điểm cộng- Biết Tiếng Anh, tiếng Hàn, quen thuộc với Canva, Photoshop và Illustrator là một điểm cộng.* Kỹ năng và cá nhân:- Tinh thần trách nhiệm và tinh thần làm việc nhóm- Tự giác, động lực, chi tiết và chuyên nghiệp.- Có khả năng làm việc dưới áp lực và môi trường có nhịp độ nhanh.- Tính cách: cởi mở, trung thực, tận tâm.",24/03/2025 08:33,https://vieclam24h.vn/marketing/nhan-vien-marketing-tong-hop-di-lam-ngay-c12p122id200532894.html?open_from=0201_1_12&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Kinh Doanh Bất Động Sản - Lương Cơ Bản Lên Tới 14 Triệu (Không Yêu Cầu Kinh Nghiệm),Công Ty Cổ Phần Bất Động Sản A New Home,"113 Đường 30/04, phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương.",Bình Dương.,Việt Nam,Chuyên viên- nhân viên,"Bất động sản, Chăm sóc khách hàng, Bán hàng - Kinh doanh","Giao tiếp tốt, nhanh nhẹn, năng động, ham học hỏi, tác phong lịch sự, chuyên nghiệp;Không yêu cầu kinh nghiệm. ( ứng viên có kinh nghiệm Bán hàng, Kinh doanh, Kinh doanh Bất động sản, tài chính, ngân hàng, ô tô... là một lợi thế; các ứng viên chưa có kinh nghiệm sẽ được đào tạo các kỹ năng, nghiệp vụ bán hàng.);Yêu thích kinh doanh và đam mê Bất động sản;Có kỹ năng thuyết phục, đàm phán, chốt giao dịch.",24/03/2025 08:33,https://vieclam24h.vn/bat-dong-san/nhan-vien-kinh-doanh-bat-dong-san-luong-co-ban-len-toi-14-trieu-khong-yeu-cau-kinh-nghiem-c29p122id200526754.html?open_from=0201_1_13&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Chuyên Viên Cấp Phép - Nhạc Nền,Trung Tâm Bảo Vệ Quyền Tác Giả Âm Nhạc Việt Nam,"số 23, ngõ 397/2/5, đường Phạm Văn Đồng, p. Xuân Đỉnh, q. Bắc Từ Liêm, tp Hà Nội",tp Hà Nội,Việt Nam,Chuyên viên- nhân viên,"Marketing, Bán hàng - Kinh doanh, Luật - Pháp Lý - Tuân thủ","Sử dụng thành thạo vi tính văn phòng.Có kỹ năng thuyết trình trước hội nghị, đàm phán hợp đồng.Tốt nghiệp Đại học luật/quản trị kinh doanh/marketing.Độ tuổi từ 25 tuổi trở lênƯu tiên: Tiếng Anh, nghe nói đọc viết, có khả năng đàm phán và trao đổi với đối tác bằng tiếng Anh. Có khả năng marketing tốt.Ưu tiên cho ứng viên tốt nghiệp Đại học luật, ngoại thương, kinh tế, marketing hoặc có kiến thức trong lĩnh vực sở hữu trí tuệ hoặc có kinh nghiệm trong lĩnh vực truyền thông.Soản thảo hợp đồng, reviewKhả năng tư duy nhạy bénGiao tiếp tốt và linh hoạt trong công việc.Khả năng xử lý tình huống, giải quyết vấn đề tốt.Tuân thủ đạo đức nghề nghiệp, nguyên tắc bảo mật.",24/03/2025 08:33,https://vieclam24h.vn/marketing/chuyen-vien-cap-phep-nhac-nen-c12p73id200531650.html?open_from=0201_1_14&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Kế Toán Tổng Hợp Thu Nhập Từ 14 Triệu - 20 Triệu,Công Ty TNHH Một Thành Viên Hn Corporation,"156 Hoàng Ngân, Cẩm Thượng, TP Hải Dương",TP Hải Dương,Việt Nam,Chuyên viên- nhân viên,"Kế toán, Kiểm toán, Tài chính - Đầu tư - Chứng Khoán","Kinh nghiệm: Tối thiểu 3 năm kinh nghiệm kế toán tổng hợp, ưu tiên ngành nhập khẩu, thương mại.Trình độ:Tốt nghiệp Cao đẳng / Đại học chuyên ngành Kế toán, Tài chính.Kỹ năng:Thành thạo MISA, FAST, Excel, Word.Tư duy hệ thống, khả năng tổ chức và quản lý công việc tốt.Trung thực, trách nhiệm, cẩn thận, có thể làm việc độc lập hoặc theo nhóm.",24/03/2025 08:33,https://vieclam24h.vn/ke-toan/ke-toan-tong-hop-thu-nhap-tu-14-trieu-20-trieu-c17p91id200514787.html?open_from=0201_1_15&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Kinh Doanh,Công Ty TNHH Bất Động Sản HNN,"Chung Cư Happy Central - Số 113 Đường 30/4, Phường Phú Hoà, Thủ Dầu Một, Bình Dương",Bình Dương,Việt Nam,Chuyên viên- nhân viên,"Bán hàng - Kinh doanh, Bán sỉ - Bán lẻ - Quản lý cửa hàng, Bất động sản","Đam mê kinh doanh, muốn bứt phá thu nhậpKỹ năng giao tiếp tốt, tự tin, có khả năng thương lượngCó kinh nghiệm BĐS là lợi thế – Chưa có sẽ được đào tạo!Chăm chỉ, cầu tiến, muốn phát triển lâu dài trong ngành BĐS",24/03/2025 08:32,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-c13p119id200529656.html?open_from=0201_1_16&search_id=33cbe760ec9e067ed7e5c0921a2a6987
"Giám Đốc Kinh Doanh, Kinh Nghiệm 5 Năm (Ngành Bao Bì Giấy / Nhựa / B2B)",Công Ty TNHH Bao Bì Giấy Việt Trung,"Lô LD1-LD6, KCN Xuyên Á, xã Mỹ Hạnh Bắc, huyện Đức Hòa, Long An",Long An,Việt Nam,Quản lý cấp cao,"Bán hàng - Kinh doanh, Marketing, Bán sỉ - Bán lẻ - Quản lý cửa hàng","Tốt nghiệp đại học trở lên (Quản trị kinh doanh, Maketing, Ngoại thương, Kinh tế, Tài chính….)Có 5 năm kinh nghiệm ở vị trí tương đương trở lên trong đó có tối thiểu 2 năm kinh nghiệm ngành Bao bì giấy/nhựa/B2BCó khả năng giao tiếp tiếng anh cơ bản.Có tinh thần đồng đội, chăm chỉ, chịu khó, chịu được áp lực cao.Có trách nhiệm cao và thái độ làm việc nghiêm túc.Tư duy logic rõ ràng, giao tiếp chuẩn mực và biểu đạt tốt.Là một người quản lý có phẩm chất trung thực, truyền động lực tinh thần làm việc cho nhân viênCó khả năng kết cộng đồng, phong trào hoạt động hăng hái.",24/03/2025 08:32,https://vieclam24h.vn/ban-hang-kinh-doanh/giam-doc-kinh-doanh-kinh-nghiem-5-nam-nganh-bao-bi-giay-nhua-b2b-c13p123id200525729.html?open_from=0201_1_17&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Vincons_Chuyên Viên / Nhân Viên Trắc Đạc,Công Ty Cổ Phần Phát Triển Và Đầu Tư Xây Dựng Vincons,"Tầng 10, Tòa nhà TechnoPark Tower, Khu đô thị Gia Lâm, Xã Đa Tốn, Huyện Gia Lâm, Thành phố Hà Nội, Việt Nam",Việt Nam,Việt Nam,Chuyên viên- nhân viên,"Khai thác năng lượng - Khoáng sản - Địa chất, Xây dựng","- Có kiến thức chuyên môn và kỹ năng sử dụng tốt các phần mềm phục vụ công việc, kỹ năng đọc, hiểu bản vẽ;-  Ưu tiên ứng viên đã có kinh nghiệm tương đương tại các Công ty/nhà thầu thi công xây dựng;- Hiểu biết cơ bản về theo dõi tiến độ trong thi công công trình xây dựng;- Trung thực, cẩn trọng, tỉ mỉ, có kỹ năng kiểm soát, quản lý công việc tốt.",24/03/2025 08:32,https://vieclam24h.vn/khai-thac-nang-luong-khoang-san-dia-chat/vincons-chuyen-vien-nhan-vien-trac-dac-c20p73id200526531.html?open_from=0201_1_18&search_id=33cbe760ec9e067ed7e5c0921a2a6987
"Nhân Viên B2B - Nhân Viên Kinh Doanh Thị Trường - Khu Vực Miền Bắc, Miền Nam",Công Ty Tnhh Guangbo Việt Nam,"Lô C8-1 và lô C8-2, KCN Đại Đồng - Hoàn Sơn, Xã Hoàn Sơn, Huyện Tiên Du, Tỉnh Bắc Ninh, Việt Nam",Việt Nam,Việt Nam,Chuyên viên- nhân viên,"Bán hàng - Kinh doanh, Chăm sóc khách hàng, Nghề nghiệp khác","Giới tính: Nam hoặc nữTuổi: 23-35Giờ làm việc: Toàn thời gian cố địnhNgôn ngữ: Song ngữ Trung –Việt (hoặc Anh - Việt)Học vấn: Chuyên ngành liên quan đến tiếp thị.Kinh nghiệm: Có ít nhất 1 năm kinh nghiệm kinh doanh, ưu tiên những người am hiểu về ngành văn phòng phẩm.Kỹ năng đàm phán: Khả năng đàm phán giá cả và hợp đồng với đối tác và khách hàng.Khả năng làm việc: Tự tin khi làm việc độc lập và phối hợp hiệu quả trong nhóm.Tin học văn phòng: Thành thạo Word, Excel, Facebook và các phần mềm khác.Có phương tiện đi lại",24/03/2025 08:32,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-b2b-nhan-vien-kinh-doanh-thi-truong-khu-vuc-mien-bac-mien-nam-c13p90id200525726.html?open_from=0201_1_19&search_id=33cbe760ec9e067ed7e5c0921a2a6987
"Kỹ Sư Thiết Kế, Khối Lượng Và Dự Toán",Công Ty Cổ Phần Số 39,"Số 03 đường 39, P. An Khánh, TP. Thủ Đức, TP. HCM",TP. HCM,Việt Nam,Chuyên viên- nhân viên,"Xây dựng, Kiến trúc - Thiết kế nội ngoại thất, Khoa học - Kỹ thuật",Tốt nghiệp Đại học chuyên ngành: Xây dựng Dân dụng hoặc Kỹ thuật xây dựng.Kinh nghiệm: Ít nhất 02 năm trở lên.,24/03/2025 08:31,https://vieclam24h.vn/xay-dung/ky-su-thiet-ke-khoi-luong-va-du-toan-c31p122id200532682.html?open_from=0201_1_20&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Kỹ Thuật Có Đào Tạo,Công Ty TNHH Vật Tư Và Thương Mại Vĩnh Hào,"Số 66 ngõ 349/10 Phố Nam Dư, phường Trần Phú, Quận Hoàng Mai, Hà Nội",Hà Nội,Việt Nam,Chuyên viên- nhân viên,"Khoa học - Kỹ thuật, Điện - Điện tử - Điện lạnh, Lao động phổ thông","· Ưu tiên nhân viên tốt nghiệp các trường nghề cơ điện.· Độ tuổi từ: Nam từ 18-35 tuổi· Chăm chỉ, nhiệt tình, thật thà.· Trình độ: tốt nghiệp trường nghề, cao đẳng (điện, điện công nghiệp, cơ điện)· Sáng từ 8-11h30; chiều từ 13h-17h30; nghỉ chủ nhật và các ngày lễ theo quy định",24/03/2025 08:31,https://vieclam24h.vn/khoa-hoc-ky-thuat/nhan-vien-ky-thuat-co-dao-tao-c34p73id200531684.html?open_from=0201_1_21&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Universal Banker - Direct Sales (Nhân Viên Kinh Doanh Thẻ Tín Dụng),Ngân Hàng TNHH Một Thành Viên United Overseas Bank (Việt Nam),"The Central Plaza, 17 Le Duan, District 1, Ho Chi Minh City, Vietnam",Vietnam,Việt Nam,Chuyên viên- nhân viên,"Bán hàng - Kinh doanh, Ngân hàng, Tài chính - Đầu tư - Chứng Khoán","Ứng viên tốt nghiệp Đại học/Cao đẳng chuyên ngành tài chính, ngân hàng, kinh tế, quản trị kinh doanh, marketing hoặc các ngành liên quan.Có kinh nghiệm & khả năng bán hàng tốt, nhạy bén với các cơ hội và kỹ năng giao tiếp, xây dựng mối quan hệ tốt.Năng động, nhiệt huyết và đam mê tìm kiếm khách hàng mới trong các sự kiện Roadshow.Ưu tiên ứng viên có từ 0-3 năm kinh nghiệm trong lĩnh vực bán hàng tài chính và chăm sóc khách hàng.Có kỹ năng giải quyết vấn đề và đàm phán hiệu quả.Sử dụng thành thạo máy tính và công nghệ.",24/03/2025 08:31,https://vieclam24h.vn/ban-hang-kinh-doanh/universal-banker-direct-sales-nhan-vien-kinh-doanh-the-tin-dung-c13p122id200532326.html?open_from=0201_1_22&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Cơ Khí (Tiện / Phay / Bào) - Lương Từ 12-15 Triệu,Công Ty TNHH Điện Trở Đốt Nóng Việt Hùng,"35/9 Phan Văn Hớn, Xuân Thới Thượng, Hóc Môn",Hóc Môn,Việt Nam,Chuyên viên- nhân viên,"Cơ khí - Ô tô - Tự động hóa, Lao động phổ thông, Vận hành - Bảo trì - Bảo dưỡng","- Kinh nghiệm 2 năm trở lên đứng máy cơ ( tiện/phay/bào)- Không yêu cầu bằng cấp, ưu tiên ứng viên thành thạo, lành nghề- Tuân thủ quy định làm việc của công ty- Xác định vào làm việc sẽ lâu dài- Hòa đồng - vui vẻ, làm việc độc lập",24/03/2025 08:31,https://vieclam24h.vn/co-khi-o-to-tu-dong-hoa/nhan-vien-co-khi-tien-phay-bao-luong-tu-12-15-trieu-c47p122id200525157.html?open_from=0201_1_23&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Kinh Doanh Đi Làm Ngay Làm Việc Tại Thanh Xuân Hà Nội,Công Ty Cổ Phần Xuất Nhập Khẩu Safaco,"114 Hoàng Văn Thái, P. Khương Mai, Q. Thanh Xuân, Hà Nội",Hà Nội,Việt Nam,Chuyên viên- nhân viên,"Bán hàng - Kinh doanh, Xuất Nhập Khẩu, Nghề nghiệp khác","Tốt nghiệp Cao đẳng trở lên, ưu tiên các chuyên ngành Kinh tế, Quản trị kinh doanh, Marketing, Thương mại, Logistics,… Ứng viên có tối thiểu 1 năm kinh nghiệm làm các vị trí như: nhân viên mua hàng, vận chuyển Trung - Việt, kinh doanh online, 1688, Taobao, Alibaba. Tài ngoại giao phong phú. Sử dụng được tiếng Anh trong công việc (tiếng Trung là một lợi thế). Kỹ năng thu thập thông tin xuất sắc. Thành thạo các kỹ năng văn phòng (biết sử dụng các phần mềm AI là một lợi thế). Công việc này không yêu cầu trí tuệ sắc bén hay là kỹ năng chuyên môn sâu rộng mà là khả năng thực thi.",24/03/2025 08:30,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-di-lam-ngay-lam-viec-tai-thanh-xuan-ha-noi-c13p73id200524078.html?open_from=0201_1_24&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Kỹ Thuật Viên IT / Phần Cứng - Hà Nội,Công Ty Cổ Phần Công Nghệ Thông Minh - Stech,"64/97 phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội",Hà Nội,Việt Nam,Chuyên viên- nhân viên,"IT Phần cứng - Mạng, Điện - Điện tử - Điện lạnh, Cơ khí - Ô tô - Tự động hóa","- Có kiến thức cơ bản về máy tính, cài đặt thiết lập phần mềm máy tính; - Nhanh nhẹn hoạt bát trong giao tiếp; chăm chỉ, tỉ mỉ cẩn thận trong kỹ thuật;- Đã tốt nghiệp các trường thuộc khối kỹ thuật hệ trung cấp trở lên;- Trung thực, năng động, kiên trì, gắn bó lâu dài với công ty;- Chăm chỉ, cẩn thận, tác phong chuyên nghiệp;- Chủ động, có khả năng giải quyết vấn đề và quản lý thời gian tốt;- Kỹ năng vi tính: có kiến thức về hệ điều hành MS Windows, mạng LAN - Ưu tiên cho những ứng viên có những tiêu chí sau:+ Có kinh nghiệm trong lĩnh vực trên hoặc tương đương;+ Có kinh nghiệm triển khai lắp đặt mạng LAN;+ Có bằng lái xe B1 hoặc B2;",24/03/2025 08:29,https://vieclam24h.vn/it-phan-cung-mang/ky-thuat-vien-it-phan-cung-ha-noi-c7p73id200529700.html?open_from=0201_1_25&search_id=33cbe760ec9e067ed7e5c0921a2a6987
